slug,display_name_ko,region_group,changed,forbidden_terms,before_summary,after_summary,before_primary_bath,after_primary_bath,before_operation_notes,after_operation_notes,evidence_note
beppu-kannawaen,벳푸 칸나와엔,kyushu,false,,"벳푸 철륜온천권의 온천 리조트형 숙소입니다. 객실 내 프라이빗탕과 공용 온천을 함께 볼 수 있어, 객실 타입별 욕장과 대욕장을 나눠 확인하는 것이 중요합니다.","벳푸 철륜온천권의 온천 리조트형 숙소입니다. 객실 내 프라이빗탕과 공용 온천을 함께 볼 수 있어, 객실 타입별 욕장과 대욕장을 나눠 확인하는 것이 중요합니다.",객실 내 프라이빗탕 + 대욕장,객실 내 프라이빗탕 + 대욕장,"객실 타입별 욕장 구성 확인이 필요합니다,철륜온천권 숙소입니다","객실 타입별 욕장 구성 확인이 필요합니다,철륜온천권 숙소입니다","직접 읽은 후기 391건, 온천 관련 335건, 본문 확인 플랫폼 4개"
beppu-kokoroan,벳푸 코코로안,kyushu,false,,벳푸에서 객실 안 온천 경험을 우선할 때 보기 좋은 숙소입니다. 대욕장보다 프라이빗한 객실 내 프라이빗탕 시간을 중시하는 여행자에게 잘 맞습니다.,벳푸에서 객실 안 온천 경험을 우선할 때 보기 좋은 숙소입니다. 대욕장보다 프라이빗한 객실 내 프라이빗탕 시간을 중시하는 여행자에게 잘 맞습니다.,객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 내 프라이빗탕 중심 숙소입니다,대욕장보다 프라이빗 온천 기대치가 중요합니다","객실 내 프라이빗탕 중심 숙소입니다,대욕장보다 프라이빗 온천 기대치가 중요합니다","직접 읽은 후기 395건, 온천 관련 349건, 본문 확인 플랫폼 3개"
ibusuki-hakusuikan,이부스키 하쿠스이칸,kyushu,false,,이부스키의 대형 온천 리조트형 숙소입니다. 객실 내 프라이빗탕보다 대욕장과 온천시설 전체를 즐기고 싶은 여행자에게 맞습니다.,이부스키의 대형 온천 리조트형 숙소입니다. 객실 내 프라이빗탕보다 대욕장과 온천시설 전체를 즐기고 싶은 여행자에게 맞습니다.,대욕장/온천시설 중심,대욕장/온천시설 중심,"대형 시설형 온천 숙소입니다,대욕장/시설 동선 확인을 권장합니다","대형 시설형 온천 숙소입니다,대욕장/시설 동선 확인을 권장합니다","직접 읽은 후기 2,451건, 온천 관련 1,799건, 본문 확인 플랫폼 8개"
ibusuki-yurian,이부스키 유리안,kyushu,false,,이부스키에서 프라이빗한 객실 내 프라이빗탕 체류를 기대할 때 보기 좋은 숙소입니다. 객실 노천탕과 독립된 체류감을 중시하는 가족이나 커플에게 잘 맞습니다.,이부스키에서 프라이빗한 객실 내 프라이빗탕 체류를 기대할 때 보기 좋은 숙소입니다. 객실 노천탕과 독립된 체류감을 중시하는 가족이나 커플에게 잘 맞습니다.,객실 노천탕 중심,객실 노천탕 중심,"객실별 욕장 구성 확인이 필요합니다,프라이빗 체류형 숙소입니다","객실별 욕장 구성 확인이 필요합니다,프라이빗 체류형 숙소입니다","직접 읽은 후기 606건, 온천 관련 518건, 본문 확인 플랫폼 8개"
kirishima-lavista,라비스타 기리시마 힐즈,kyushu,false,,"기리시마의 리조트형 온천 숙소입니다. 조용한 료칸식 객실 내 프라이빗탕보다 대욕장, 전망, 리조트 편의성을 함께 보는 편이 맞습니다.","기리시마의 리조트형 온천 숙소입니다. 조용한 료칸식 객실 내 프라이빗탕보다 대욕장, 전망, 리조트 편의성을 함께 보는 편이 맞습니다.",대욕장/리조트 온천 중심,대욕장/리조트 온천 중심,"대욕장과 리조트형 시설 경험 중심입니다,객실 내 프라이빗탕 중심 숙소와 구분이 필요합니다","대욕장과 리조트형 시설 경험 중심입니다,객실 내 프라이빗탕 중심 숙소와 구분이 필요합니다","직접 읽은 후기 518건, 온천 관련 372건, 본문 확인 플랫폼 8개"
kurokawa-okunoyu,료칸 오쿠노유,kyushu,false,,구로카와 온천 안쪽에서 대욕장과 노천탕을 중심으로 즐기는 숙소입니다. 객실 내 프라이빗탕보다 숙소 안에서 여러 탕을 오가며 온천을 즐기고 싶은 여행자에게 잘 맞습니다.,구로카와 온천 안쪽에서 대욕장과 노천탕을 중심으로 즐기는 숙소입니다. 객실 내 프라이빗탕보다 숙소 안에서 여러 탕을 오가며 온천을 즐기고 싶은 여행자에게 잘 맞습니다.,대욕장/노천탕 중심,대욕장/노천탕 중심,"공용 노천탕과 대욕장 중심입니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","공용 노천탕과 대욕장 중심입니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","직접 읽은 후기 347건, 온천 관련 269건, 본문 확인 플랫폼 8개"
kurokawa-sanga,료칸 산가,kyushu,false,,구로카와 특유의 숲속 노천탕 분위기를 기대할 때 보기 좋은 료칸입니다. 객실 내 프라이빗탕보다 자연 속 공용 노천탕 경험을 중심으로 보는 편이 맞습니다.,구로카와 특유의 숲속 노천탕 분위기를 기대할 때 보기 좋은 료칸입니다. 객실 내 프라이빗탕보다 자연 속 공용 노천탕 경험을 중심으로 보는 편이 맞습니다.,숲속 노천탕 중심,숲속 노천탕 중심,"공용 노천탕 경험 중심입니다,객실 내 프라이빗탕보다 노천탕/대욕장 기대치로 안내합니다","공용 노천탕 경험 중심입니다,객실 내 프라이빗탕보다 노천탕/대욕장 기대치로 안내합니다","직접 읽은 후기 339건, 온천 관련 310건, 본문 확인 플랫폼 6개"
kurokawa-takefue,구로카와 다케후에,kyushu,false,,프라이빗한 고급 체류와 객실 전용탕 경험을 함께 기대하는 숙소입니다. 대중적인 대욕장형 숙소보다 객실별 체류감과 전용성을 우선해서 보는 편이 좋습니다.,프라이빗한 고급 체류와 객실 전용탕 경험을 함께 기대하는 숙소입니다. 대중적인 대욕장형 숙소보다 객실별 체류감과 전용성을 우선해서 보는 편이 좋습니다.,객실/전용 온천 중심,객실/전용 온천 중심,"객실 타입별 욕장 구성 확인이 필요합니다,고급 프라이빗 체류형입니다","객실 타입별 욕장 구성 확인이 필요합니다,고급 프라이빗 체류형입니다","직접 읽은 후기 524건, 온천 관련 373건, 본문 확인 플랫폼 6개"
kurokawa-yamamizuki,야마미즈키,kyushu,false,,구로카와를 대표하는 야외 노천탕형 숙소입니다. 객실 설비보다 넓은 공용 노천탕과 자연 속 온천 분위기를 우선할 때 잘 맞습니다.,구로카와를 대표하는 야외 노천탕형 숙소입니다. 객실 설비보다 넓은 공용 노천탕과 자연 속 온천 분위기를 우선할 때 잘 맞습니다.,대형 노천탕 중심,대형 노천탕 중심,"공용 노천탕 중심입니다,객실 내 프라이빗탕 중심 숙소와 구분이 필요합니다","공용 노천탕 중심입니다,객실 내 프라이빗탕 중심 숙소와 구분이 필요합니다","직접 읽은 후기 361건, 온천 관련 342건, 본문 확인 플랫폼 5개"
takeo-koyokaku,다케오온천 가이세키야도 오기야,kyushu,false,,다케오 온천권에서 조용한 고급 료칸형 선택지로 볼 수 있는 숙소입니다. 대형 온천시설보다 차분한 숙박과 온천 이용을 함께 기대할 때 어울립니다.,다케오 온천권에서 조용한 고급 료칸형 선택지로 볼 수 있는 숙소입니다. 대형 온천시설보다 차분한 숙박과 온천 이용을 함께 기대할 때 어울립니다.,소규모 료칸 온천 중심,소규모 료칸 온천 중심,"다케오 지역 추가 후보 확장 필요합니다,객실별 욕장 구성 확인을 권장합니다","다케오 지역 추가 후보 확장 필요합니다,객실별 욕장 구성 확인을 권장합니다","직접 읽은 후기 330건, 온천 관련 255건, 본문 확인 플랫폼 5개"
ureshino-shiibasanso,우레시노 온천 시이바산소,kyushu,false,,우레시노 온천의 부드러운 수질과 조용한 산장형 체류감을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕보다 우레시노 온천 자체와 대욕장/노천탕을 즐기는 쪽에 가깝습니다.,우레시노 온천의 부드러운 수질과 조용한 산장형 체류감을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕보다 우레시노 온천 자체와 대욕장/노천탕을 즐기는 쪽에 가깝습니다.,대욕장/노천탕 중심,대욕장/노천탕 중심,"우레시노 수질 기대치와 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","우레시노 수질 기대치와 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","직접 읽은 후기 319건, 온천 관련 297건, 본문 확인 플랫폼 4개"
ureshino-taishoya,우레시노 온천 다이쇼야,kyushu,false,,"우레시노의 전통 료칸형 온천 경험을 기대할 때 보기 좋은 숙소입니다. 온천 물의 부드러운 질감, 대욕장, 식사와 접객을 함께 보는 체류형 숙소에 가깝습니다.","우레시노의 전통 료칸형 온천 경험을 기대할 때 보기 좋은 숙소입니다. 온천 물의 부드러운 질감, 대욕장, 식사와 접객을 함께 보는 체류형 숙소에 가깝습니다.",대욕장 중심,대욕장 중심,"우레시노 수질 기대치와 함께 안내합니다,전통 료칸 체류형입니다","우레시노 수질 기대치와 함께 안내합니다,전통 료칸 체류형입니다","직접 읽은 후기 369건, 온천 관련 328건, 본문 확인 플랫폼 4개"
ureshino-wataya-besso,우레시노 온천 와타야벳소,kyushu,false,,"우레시노에서 규모감 있는 온천 체류를 원하는 여행자에게 맞는 숙소입니다. 온천 이용과 시설 체류, 객실 동선을 함께 확인하는 편이 좋습니다.","우레시노에서 규모감 있는 온천 체류를 원하는 여행자에게 맞는 숙소입니다. 온천 이용과 시설 체류, 객실 동선을 함께 확인하는 편이 좋습니다.",대욕장/시설형 온천 중심,대욕장/시설형 온천 중심,"규모 있는 시설형 숙소입니다,객실 타입과 동선 확인이 필요합니다","규모 있는 시설형 숙소입니다,객실 타입과 동선 확인이 필요합니다","직접 읽은 후기 316건, 온천 관련 275건, 본문 확인 플랫폼 4개"
yufuin-baien,유후인 바이엔 가든 리조트,kyushu,false,,유후인의 정원형 리조트 감성과 온천 이용을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화보다 넓은 부지와 대욕장/노천탕을 함께 즐기는 쪽에 가깝습니다.,유후인의 정원형 리조트 감성과 온천 이용을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화보다 넓은 부지와 대욕장/노천탕을 함께 즐기는 쪽에 가깝습니다.,대욕장/정원형 온천 중심,대욕장/정원형 온천 중심,"정원형 리조트 체류감과 온천을 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","정원형 리조트 체류감과 온천을 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","직접 읽은 후기 458건, 온천 관련 411건, 본문 확인 플랫폼 3개"
yufuin-hanamura,유후인 카오리노사토 하나무라,kyushu,false,,유후인 역세권과 온천 료칸 경험을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화 숙소라기보다 위치 편의와 온천 이용을 함께 보는 균형형 숙소에 가깝습니다.,유후인 역세권과 온천 료칸 경험을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화 숙소라기보다 위치 편의와 온천 이용을 함께 보는 균형형 숙소에 가깝습니다.,균형형 유후인 온천숙소,균형형 유후인 온천숙소,"위치 편의와 온천 이용을 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","위치 편의와 온천 이용을 함께 안내합니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","직접 읽은 후기 1,257건, 온천 관련 895건, 본문 확인 플랫폼 3개"
yufuin-poppoan,유후인 팝포안,kyushu,false,,유후인에서 객실 내 프라이빗탕 중심의 조용한 숙박을 기대할 때 보기 좋은 숙소입니다. 대욕장보다 방 안에서 온천을 쓰는 편안함을 우선하는 여행자에게 맞습니다.,유후인에서 객실 내 프라이빗탕 중심의 조용한 숙박을 기대할 때 보기 좋은 숙소입니다. 대욕장보다 방 안에서 온천을 쓰는 편안함을 우선하는 여행자에게 맞습니다.,객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 내 프라이빗탕 중심 숙소입니다,객실별 욕장 형태 확인이 필요합니다","객실 내 프라이빗탕 중심 숙소입니다,객실별 욕장 형태 확인이 필요합니다","직접 읽은 후기 889건, 온천 관련 740건, 본문 확인 플랫폼 3개"
yufuin-ryoutiku,유후 료치쿠,kyushu,false,,유후인 중심부 접근성과 료칸 체류감을 함께 보는 숙소입니다. 객실 내 프라이빗탕 하나로만 설명하기보다 유후인 숙박 경험과 온천 이용을 함께 보는 편이 맞습니다.,유후인 중심부 접근성과 료칸 체류감을 함께 보는 숙소입니다. 객실 내 프라이빗탕 하나로만 설명하기보다 유후인 숙박 경험과 온천 이용을 함께 보는 편이 맞습니다.,유후인 료칸 온천 중심,유후인 료칸 온천 중심,"객실 타입별 욕장 구성 확인이 필요합니다,유후인 중심부 체류형 숙소입니다","객실 타입별 욕장 구성 확인이 필요합니다,유후인 중심부 체류형 숙소입니다","직접 읽은 후기 1,636건, 온천 관련 1,022건, 본문 확인 플랫폼 3개"
yufuin-ryu-no-hige,유후인 류노히게 벳테이 유무타,kyushu,false,,유후인에서 객실 노천탕과 조용한 독립 체류를 기대하는 숙소입니다. 객실 안에서 온천을 즐기는 프라이빗한 시간을 우선하는 여행자에게 잘 맞습니다.,유후인에서 객실 노천탕과 조용한 독립 체류를 기대하는 숙소입니다. 객실 안에서 온천을 즐기는 프라이빗한 시간을 우선하는 여행자에게 잘 맞습니다.,객실 노천탕 중심,객실 노천탕 중심,"객실 타입별 노천탕 구성 확인이 필요합니다,프라이빗 체류형 숙소입니다","객실 타입별 노천탕 구성 확인이 필요합니다,프라이빗 체류형 숙소입니다","직접 읽은 후기 979건, 온천 관련 861건, 본문 확인 플랫폼 3개"
yufuin-ubl-hotel,유후인 유벨 호텔,kyushu,false,,유후인에서 비교적 차분한 호텔형 온천 숙소를 찾을 때 보기 좋습니다. 객실 내 프라이빗탕 특화보다 대욕장과 호텔형 숙박 편의성을 함께 보는 편이 자연스럽습니다.,유후인에서 비교적 차분한 호텔형 온천 숙소를 찾을 때 보기 좋습니다. 객실 내 프라이빗탕 특화보다 대욕장과 호텔형 숙박 편의성을 함께 보는 편이 자연스럽습니다.,호텔형 대욕장 중심,호텔형 대욕장 중심,"호텔형 온천 숙소입니다,객실 내 프라이빗탕보다 대욕장 이용 중심입니다","호텔형 온천 숙소입니다,객실 내 프라이빗탕보다 대욕장 이용 중심입니다","직접 읽은 후기 326건, 온천 관련 287건, 본문 확인 플랫폼 3개"
