slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status,source_files
ito-atagawa-takayuso,熱川高磯の湯,아타가와 다카이소노유,ito-izu,静岡県,open_air_public_bath,Tier 2,"해안 노천탕, 계절/운영조건 확인 후보",Izu day-use seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-izu-kogen-taiyokan,伊豆高原の湯,이즈고원노유,ito-izu,静岡県,large_day_use_complex,Tier 2,"이즈고원 당일온천, 泥パック/휴게 신호 후보",Izu Kogen day-use seed,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
shirahama-shirasunayu,露天風呂しらすな / しらすな足湯,시라스나 노천탕/족탕,shirahama,和歌山県,open_air_public_bath,Tier 2,"해변형 노천/족탕, 계절성·수영복 여부 확인 후보",Nanki Shirahama tourism onsen page,needs_official_detail_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-shirarayu,白良湯,시라라유,shirahama,和歌山県,historic_public_bath,Tier 2,"시라하마 외탕, 관광객/로컬 공중탕 신호 후보",Nanki Shirahama tourism onsen page,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-matsunoyu,松乃湯,마쓰노유,shirahama,和歌山県,historic_public_bath,Tier 2,"시라하마 외탕, 가격/어메니티 신호 후보",Nanki Shirahama tourism onsen page,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-toretore,とれとれの湯,토레토레노유,shirahama,和歌山県,large_day_use_complex,Tier 1,식음/시장 관광동선형 대형 당일온천 후보,Nanki Shirahama tourism onsen page,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-tsubaki-hananoyu,道の駅 椿はなの湯,쓰바키 하나노유,shirahama,和歌山県,public_bath_facility,Tier 2,"도노에키 온천, 족탕/당일입욕 후보",Nanki Shirahama tourism onsen page,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
yugawara-kogomenoyu,こごめの湯,코고메노유,yugawara,神奈川県,public_bath_facility,Tier 1,"만요공원 입구 당일온천, 관광동선·공중탕 신호 후보",Official Kogome no Yu page,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
yugawara-mamane,湯河原温泉 ままねの湯,마마네노유,yugawara,神奈川県,historic_public_bath,Tier 2,로컬 공동탕/원천 신호 후보,Yugawara day-use seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
yugawara-izuminoyu,ニューウェルシティ湯河原 いずみの湯,이즈미노유,yugawara,神奈川県,large_day_use_complex,Tier 2,대형 당일온천·숙박 겸용 시설 후보,Yugawara day-use seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
kawaguchiko-yurari,富士眺望の湯 ゆらり,후지조망탕 유라리,kawaguchiko,山梨県,large_day_use_complex,Tier 1,"후지산 조망 16종 욕조, 식음/휴게, 손빈방문 가능 신호",Official/Yamanashi tourism pages,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
kawaguchiko-kaiun,河口湖温泉 寺露天風呂の宿 夢殿 日帰り候補,카와구치코 고급숙 당일입욕 후보,kawaguchiko,山梨県,hotel_dayuse_bath,Tier 3,고급숙 일일입욕 가능성 확인 후보,Kawaguchiko lodging exposure,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
kawaguchiko-tensui,野天風呂天水 / 河口湖日帰り温泉候補,Tensui day-use seed,kawaguchiko,山梨県,open_air_public_bath,Tier 2,"야천풍로형 당일온천 후보, 운영현황 확인 필요",Kawaguchiko day-use seed,needs_current_operation_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
kawaguchiko-fujiyama-onsen,ふじやま温泉,Fujiyama Onsen,kawaguchiko,山梨県,large_day_use_complex,Tier 1,"후지큐 인접 대형 온천시설, 관광동선/혼잡 신호 후보",Kawaguchiko day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
akiu-sato-center,秋保・里センター 足湯,아키우 사토센터 족탕,akiu,宮城県,footbath,Tier 2,"관광안내소 족탕, 무료/짧은 체류형 후보",Akiu day-use seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
akiu-hananoyu-dayuse,ホテル華乃湯 日帰り温泉,호텔 하나노유 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 1,"아키우 당일온천 추천 노출, 노천/대욕장 후보",Jalan/Akiu day-use exposure,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
akiu-zuiho-dayuse,ホテル瑞鳳 日帰り温泉,호텔 즈이호 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 1,"대형 호텔 당일온천 후보, 운영일/혼잡 확인 필요",Akiu day-use seed,needs_official_detail_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
akiu-ryokusuitei-dayuse,篝火の湯 緑水亭 日帰り,료쿠스이테이 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 2,정원형 노천/대욕장 당일온천 후보,Akiu day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
ikaho-ishidan-no-yu,石段の湯,이카호 이시단노유,ikaho,群馬県,historic_public_bath,Tier 1,"석단거리 공중탕, 황금탕/관광객 혼잡 신호 후보",Ikaho day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
ikaho-rotenburo,伊香保露天風呂,이카호 노천탕,ikaho,群馬県,open_air_public_bath,Tier 1,"원천 근처 노천탕, 온천감/운영조건 후보",Ikaho day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
ikaho-kogane-no-yu,黄金の湯館,고가네노유칸,ikaho,群馬県,large_day_use_complex,Tier 2,"대형 당일온천, 가격/혼잡/가족형 수요 후보",Ikaho day-use seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
ikaho-ikaho-onsen-drink,飲泉所・足湯候補,이카호 음천/족탕 후보,ikaho,群馬県,footbath,Tier 3,석단거리 짧은 체류/무료 시설 후보,Ikaho tourist seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
toba-toba-seaside-hotel-dayuse,鳥羽シーサイドホテル 日帰り温泉,도바 시사이드호텔 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,바다 전망 대형 호텔 당일온천 후보,Toba day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
toba-todaya-dayuse,戸田家 日帰り温泉,토다야 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,"도바 대형 숙소 당일온천, 탕종류/혼잡 신호 후보",Toba lodging/day-use seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
toba-toba-grand-dayuse,鳥羽グランドホテル 日帰り温泉,도바 그랜드호텔 당일온천,toba,三重県,hotel_dayuse_bath,Tier 2,바다 전망 호텔온천 후보,Toba day-use seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
toba-aquaignis-kataoka,アクアイグニス片岡温泉,아쿠아이그니스 가타오카온천,toba,三重県,wellness_spa,Tier 1,"미에권 스파/식음 복합시설, 도바·이세시마 보강 후보",Mie facility seed,needs_area_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
isawa-yamanami,やまなしフルーツ温泉ぷくぷく / ほったらかし温泉候補,Yamanashi view onsen seed,isawa,山梨県,open_air_public_bath,Tier 2,"이사와/후에후키권 조망형 온천 후보, 지역 정확도 보강 필요",Yamanashi facility seed,needs_area_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
isawa-nadeshiko,石和温泉駅前公園あしゆ,이사와온천역 앞 족탕,isawa,山梨県,footbath,Tier 2,"역 앞 무료 족탕 후보, 짧은 체류형 시설",Isawa tourist seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
isawa-spaland,スパランドホテル内藤,스파랜드 호텔 나이토,isawa,山梨県,wellness_spa,Tier 1,"대형 스파/사우나/숙박 겸용, 리뷰풀 후보",Isawa/Fuefuki facility seed,needs_review_pool_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
isawa-yamanashi-kotsu,石和健康ランド,이사와 건강랜드,isawa,山梨県,wellness_spa,Tier 2,건강랜드형 대형 온욕시설 후보,Isawa facility seed,needs_source_crosscheck,nationwide_west_facility_seed_v0_4_2026-07-03.csv
kurokawa-nyuto-tegata,黒川温泉 入湯手形,Kurokawa Onsen Nyuto Tegata,kurokawa,熊本県,open_air_bath_route,Tier 1,25개 료칸 노천 중 3곳 선택형 탕순례 상품,Kurokawa official tegata source,official_checked,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-day-use-status,黒川温泉 日帰り入浴情報,Kurokawa day-use bath status,kurokawa,熊本県,open_air_bath_route,Tier 1,혼잡과 휴업 상태를 공식 표시하는 노천 순례 허브,Kurokawa official day-use status source,official_checked,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-kounoyu-dayuse,こうの湯 日帰り入浴,Kounoyu day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,노천탕 당일입욕과 탕순례 후보,Kurokawa official day-use status source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-senomoto-kogen-dayuse,瀬の本高原ホテル 日帰り入浴,Senomoto Kogen Hotel day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,고원 전망 노천 당일온천 후보,Kurokawa official day-use status source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-yamamizuki-dayuse,山みず木 日帰り入浴,Yamamizuki day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,자연형 노천탕 체험 후보,Kurokawa regional source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-ikoi-dayuse,いこい旅館 日帰り入浴,Ikoi Ryokan day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,명물 노천탕 탕순례 후보,Kurokawa regional source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-kurokawaso-dayuse,黒川荘 日帰り入浴,Kurokawaso day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,대형 노천탕과 휴업 정보 확인 필요,Kurokawa official day-use status source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kurokawa-okunoyu-dayuse,旅館奥の湯 日帰り入浴,Okunoyu day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 2,당일입욕 가능 여부 변동성이 큰 노천 후보,Kurokawa official day-use status source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
ibusuki-healthyland,ヘルシーランド温泉保養館,Healthy Land Onsen Hoyo-kan,ibusuki,鹿児島県,public_bath_facility,Tier 2,대중 온천 보양관과 절경 노천 연계 후보,Ibusuki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
ibusuki-kokoro-no-yu,指宿こころの湯,Ibusuki Kokoro no Yu,ibusuki,鹿児島県,large_day_use_complex,Tier 1,대욕장 암반욕 가족탕 병설형 대형 시설 후보,regional facility source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
ibusuki-muranoyu,村之湯温泉,Muranoyu Onsen,ibusuki,鹿児島県,historic_public_bath,Tier 2,지역 공동탕과 옛 온천문화 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
ibusuki-yajigayu,弥次ヶ湯温泉,Yajigayu Onsen,ibusuki,鹿児島県,historic_public_bath,Tier 2,현지형 공중탕과 관광객 기대차 검증 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
unzen-kojigoku-onsenkan,小地獄温泉館,Kojigoku Onsenkan,unzen,長崎県,public_bath_facility,Tier 1,백탁 유황 원천 직접 이용과 낮은 요금 신호,official Kojigoku source,official_checked,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
unzen-yokayuu,雲仙よか湯,Unzen Yokayu,unzen,長崎県,public_bath_facility,Tier 1,가족탕과 당일온천 후보,Unzen tourism daytrip source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
unzen-shinyu-kyodoyokujo,新湯共同浴場,Shinyu Public Bath,unzen,長崎県,historic_public_bath,Tier 2,운젠 공동탕과 현지형 이용 신호,Unzen tourism daytrip source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
unzen-kojigoku-footbath,雲仙地獄 足蒸し,Unzen Jigoku foot steam,unzen,長崎県,steam_bath_facility,Tier 2,지옥지대 연계 족증기 체험 후보,Unzen tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
unzen-seiunso-dayuse,青雲荘 日帰り入浴,Seiunso day-use bath,unzen,長崎県,public_bath_facility,Tier 2,소지옥 인근 백탁 유황 당일온천 후보,Unzen tourism daytrip source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-tsurunoyu-dayuse,鶴の湯温泉 日帰り入浴,Tsurunoyu day-use bath,nyuto,秋田県,historic_public_bath,Tier 1,뉴토 상징 노천탕과 혼욕 기대차 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-taenoyu-dayuse,妙乃湯 日帰り入浴,Taenoyu day-use bath,nyuto,秋田県,open_air_public_bath,Tier 1,금탕은탕과 여성친화 노천탕 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-kuroyu-dayuse,黒湯温泉 日帰り入浴,Kuroyu day-use bath,nyuto,秋田県,historic_public_bath,Tier 1,계절형 비탕 원천과 접근성 변수 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-ganiba-dayuse,蟹場温泉 日帰り入浴,Ganiba day-use bath,nyuto,秋田県,open_air_public_bath,Tier 1,숲속 노천탕과 탕순례 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-ogama-dayuse,大釜温泉 日帰り入浴,Ogama day-use bath,nyuto,秋田県,historic_public_bath,Tier 2,학교 건물 재활용 공동탕 문화 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-magoroku-dayuse,孫六温泉 日帰り入浴,Magoroku day-use bath,nyuto,秋田県,historic_public_bath,Tier 2,탕치형 다욕장과 접근성 후보,Nyuto official source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-kyukamura-dayuse,休暇村乳頭温泉郷 日帰り入浴,Kyukamura Nyuto day-use bath,nyuto,秋田県,public_bath_facility,Tier 1,두 원천과 현대적 편의성을 가진 당일온천,Qkamura travel magazine source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nyuto-yumeguri-cho,乳頭温泉郷 湯めぐり帖,Nyuto Yumeguri Pass,nyuto,秋田県,open_air_bath_route,Tier 1,숙박자 한정 탕순례 패스와 이용 조건 신호,Qkamura official yumeguri source,official_checked,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
izu-nagaoka-kobonoyu-nagaoka,弘法の湯 長岡店,Kobo no Yu Nagaoka,izu-nagaoka,静岡県,public_bath_facility,Tier 2,암반욕 대욕장 휴게형 온천시설 후보,regional facility source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
izu-nagaoka-kobonoyu-honten,弘法の湯 本店,Kobo no Yu Honten,izu-nagaoka,静岡県,public_bath_facility,Tier 2,라돈 온천과 휴게형 당일이용 후보,regional facility source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
izu-nagaoka-yurakkusu,湯らっくすのゆ,Yurakkusu no Yu,izu-nagaoka,静岡県,public_bath_facility,Tier 3,지역형 당일온천과 접근성 후보,regional source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
awara-saintpia,セントピアあわら,Saintpia Awara,awara,福井県,public_bath_facility,Tier 1,아와라 대표 당일온천과 공공시설 수요 후보,Awara tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
awara-ashiyu,芦湯,Ashiyu,awara,福井県,footbath,Tier 1,무료 족욕과 역세권 체류 신호,Awara tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
awara-yukemuri-yokocho,あわら温泉屋台村 湯けむり横丁,Yukemuri Yokocho,awara,福井県,food_steam,Tier 2,온천가 야타이와 야간 체류 수요 후보,Awara tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-satono-yu,城崎温泉 さとの湯,Satono-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 외탕 순례의 역앞 대형탕,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-jizou-yu,城崎温泉 地蔵湯,Jizo-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 칠외탕 중 가족형 상징탕,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-yanagi-yu,城崎温泉 柳湯,Yanagi-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,소형 외탕과 온천가 순례 후보,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-ichino-yu,城崎温泉 一の湯,Ichino-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,동굴탕과 대표 외탕 순례 신호,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-goshono-yu,城崎温泉 御所の湯,Goshono-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,노천과 정원 이미지가 강한 대표 외탕,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-mandara-yu,城崎温泉 まんだら湯,Mandara-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,칠외탕 순례와 작은 탕 기대차 후보,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kinosaki-kouno-yu,城崎温泉 鴻の湯,Kouno-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 발상지 전승과 노천탕 후보,Kinosaki tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-sakura-sakura-dayuse,さくらさくら温泉 日帰り入浴,Sakura Sakura Onsen day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,천연 진흙팩 노천탕이라는 체험형 신호,regional facility source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-maeda-onsen,前田温泉 カジロが湯,Maeda Onsen Kajiroga-yu,kirishima,鹿児島県,public_bath_facility,Tier 1,기리시마 온천시장 인근 당일온천 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-shinyu-onsen,新湯温泉 新燃荘,Shinmoe-so day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,강한 유황천과 비탕형 당일온천 후보,regional tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-maruo-taki-footbath,丸尾滝周辺 足湯,Maruo area footbath,kirishima,鹿児島県,footbath,Tier 3,폭포와 온천가 산책 연계 족욕 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-hinata-no-yu,日当山温泉郷 家族湯,Hinata-yama family baths,kirishima,鹿児島県,family_private_bath_facility,Tier 1,가족탕 밀집 지역과 프라이빗탕 수요 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
obama-hot-foot-105,小浜温泉 ほっとふっと105,Hot Foot 105,obama-unzen,長崎県,footbath,Tier 1,일본 최장급 족욕과 해안 관광 동선 후보,regional tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
obama-naminoyu-akane,小浜温泉 波の湯 茜,Nami no Yu Akane,obama-unzen,長崎県,open_air_public_bath,Tier 1,바다 인접 노천탕과 조망형 당일온천 후보,regional tourism source,needs_official_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
obama-wakihama-kyodoyokujo,小浜温泉 脇浜共同浴場,Wakihama Public Bath,obama-unzen,長崎県,historic_public_bath,Tier 2,지역 공동탕과 관광객 기대차 검증 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
ibusuki-ekimae-ashiyu,指宿駅前足湯,Ibusuki Station Footbath,ibusuki,鹿児島県,footbath,Tier 3,역앞 무료 족욕과 이동 동선 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
kirishima-onsen-ichiba-footbath,霧島温泉市場 足湯,Kirishima Onsen Market Footbath,kirishima,鹿児島県,footbath,Tier 2,온천시장 중심 족욕과 먹거리 동선 후보,regional tourism source,needs_source_crosscheck,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
nozawa-ogama,野沢温泉 麻釜,Ogama,nozawa,長野県,food_steam,Tier 1,온천마을 상징 조리 원천과 관광 동선 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
nozawa-oyu,野沢温泉 大湯,Oyu,nozawa,長野県,historic_public_bath,Tier 1,노자와 대표 외탕과 고온탕 기대차 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
nozawa-sotoyu-route,野沢温泉 外湯めぐり,Nozawa Sotoyu Route,nozawa,長野県,historic_public_bath,Tier 1,13개 공동탕 순례와 현지 목욕문화 신호,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
nozawa-furusato-no-yu,野沢温泉 ふるさとの湯,Furusato no Yu,nozawa,長野県,public_bath_facility,Tier 1,관광객 친화적 유료 당일온천 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
yudanaka-kaede-no-yu,湯田中駅前温泉 楓の湯,Kaede no Yu,yudanaka-shibu,長野県,public_bath_facility,Tier 1,역앞 당일온천과 접근성 강한 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
shibu-kyuto-route,渋温泉 九湯めぐり,Shibu Kyu-to Meguri,yudanaka-shibu,長野県,historic_public_bath,Tier 1,숙박자 중심 9외탕 순례와 이용조건 신호,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
shibu-oinoyu,渋温泉 大湯,Shibu Oyu,yudanaka-shibu,長野県,historic_public_bath,Tier 1,일부 일반개방 외탕과 고온탕 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
bessho-ishiyu,別所温泉 石湯,Ishiyu,bessho,長野県,historic_public_bath,Tier 1,별소온천 공동탕과 역사 신호,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
bessho-otsukai-yu,別所温泉 大師湯,Daishiyu,bessho,長野県,historic_public_bath,Tier 1,공동탕 순례와 현지형 이용 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
bessho-ainome-yu,別所温泉 あいそめの湯,Aisome no Yu,bessho,長野県,public_bath_facility,Tier 1,관광객 이용 쉬운 공공 당일온천 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
shirahonet-public-openair,白骨温泉 公共野天風呂,Shirahone Public Open-Air Bath,shirahonet,長野県,open_air_public_bath,Tier 1,백탁 노천 공공탕과 계절 운영 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-yama-no-yu,越後湯沢温泉 山の湯,Yama no Yu,echigo-yuzawa,新潟県,historic_public_bath,Tier 1,원천 공동탕과 현지 이용 신호,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-komako-no-yu,越後湯沢温泉 駒子の湯,Komako no Yu,echigo-yuzawa,新潟県,public_bath_facility,Tier 1,설국 문학 연계 당일온천 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-ponshukan-sakebath,ぽんしゅ館 酒風呂 湯の沢,Ponshukan Sake Bath,echigo-yuzawa,新潟県,wellness_spa,Tier 1,역내 술목욕 체험과 관광 동선 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
tsukioka-bijin-no-izumi,月岡温泉 美人の泉,Bijin no Izumi,tsukioka,新潟県,public_bath_facility,Tier 1,월오카 미인탕 당일온천 대표 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
tsukioka-ashiyu-yuashibi,月岡温泉 足湯 湯足美,Yuashibi Footbath,tsukioka,新潟県,footbath,Tier 1,온천가 중심 무료 족욕과 산책 동선 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
senami-ryusen,瀬波温泉 龍泉,Ryusen,senami,新潟県,public_bath_facility,Tier 2,당일온천과 해안 관광 동선 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
senami-footbath,瀬波温泉 噴湯公園 足湯,Senami Footbath,senami,新潟県,footbath,Tier 2,분탕공원 족욕과 원천 관찰 후보,regional tourism source,needs_source_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
yamashiro-soyu,山代温泉 総湯,Yamashiro Soyu,yamashiro,石川県,historic_public_bath,Tier 1,야마시로 대표 공동탕과 온천가 중심 신호,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
yamashiro-ko-soyu,山代温泉 古総湯,Yamashiro Ko-Soyu,yamashiro,石川県,historic_public_bath,Tier 1,메이지풍 복원 공동탕과 관광객 기대차 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
yamanaka-kikunoyu,山中温泉 菊の湯,Kiku no Yu,yamanaka,石川県,historic_public_bath,Tier 1,야마나카 대표 총탕과 현지 목욕문화 후보,regional tourism source,needs_official_crosscheck,nationwide_facility_batch_e_v0_6_2026-07-03.csv
