queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,verification_status,source_basis,official_url,google_maps_url,nifty_url,jalan_or_4travel_url,tripadvisor_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_review,visible_review_pool_global,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
64,T1-02,nozawa-oyu,野沢温泉 大湯,Oyu,nozawa,長野県,historic_public_bath,Tier 1,노자와 대표 외탕과 고온탕 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
65,T1-02,nozawa-sotoyu-route,野沢温泉 外湯めぐり,Nozawa Sotoyu Route,nozawa,長野県,historic_public_bath,Tier 1,13개 공동탕 순례와 현지 목욕문화 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
66,T1-02,shirahonet-public-openair,白骨温泉 公共野天風呂,Shirahone Public Open-Air Bath,shirahonet,長野県,open_air_public_bath,Tier 1,백탁 노천 공공탕과 계절 운영 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
67,T1-02,shibu-kyuto-route,渋温泉 九湯めぐり,Shibu Kyu-to Meguri,yudanaka-shibu,長野県,historic_public_bath,Tier 1,숙박자 중심 9외탕 순례와 이용조건 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
68,T1-02,shibu-oinoyu,渋温泉 大湯,Shibu Oyu,yudanaka-shibu,長野県,historic_public_bath,Tier 1,일부 일반개방 외탕과 고온탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
69,T1-02,yudanaka-kaede-no-yu,湯田中駅前温泉 楓の湯,Kaede no Yu,yudanaka-shibu,長野県,public_bath_facility,Tier 1,역앞 당일온천과 접근성 강한 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
70,T1-02,misasa-kabuyu,三朝温泉 株湯,Kabuyu,misasa,鳥取県,historic_public_bath,Tier 1,미사사 원천 공동탕과 라듐 온천 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
71,T1-02,kirishima-sakura-sakura-dayuse,さくらさくら温泉 日帰り入浴,Sakura Sakura Onsen day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,천연 진흙팩 노천탕이라는 체험형 신호,needs_official_crosscheck,regional facility source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
72,T1-02,kirishima-shinyu-onsen,新湯温泉 新燃荘,Shinmoe-so day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,강한 유황천과 비탕형 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
73,T1-02,noboribetsu-daiichi-dayuse,第一滝本館 日帰り入浴,다이이치 타키모토칸 당일입욕,noboribetsu,北海道,large_day_use_complex,Tier 1,"대형 호텔 온천 당일입욕, 접수시간·요금 확인 필요",needs_official_detail_crosscheck,Noboribetsu tourism day-use page,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
74,T1-02,jozankei-hoheikyo,豊平峡温泉,호헤이쿄온천,jozankei,北海道,open_air_public_bath,Tier 1,"대자연 대노천탕, 조망/접근성/혼잡 신호 후보",needs_review_pool_crosscheck,Jozankei Tourism official day-use page,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
75,T1-02,jozankei-morino-uta-dayuse,定山渓鶴雅リゾートスパ森の謌 日帰り,모리노우타 당일온천,jozankei,北海道,wellness_spa,Tier 1,"스파 리조트형 당일 플랜, 식사세트 요금 신호",needs_review_pool_crosscheck,"Official Mori no Uta, Jozankei Tourism day-use page",,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
76,T1-02,noboribetsu-grand-dayuse,登別グランドホテル 日帰り温泉,노보리베쓰 그랜드호텔 당일온천,noboribetsu,北海道,large_day_use_complex,Tier 1,"日帰り 2,000엔, 접수마감/혼잡시 단축 신호, 鬼サウナ",needs_review_pool_crosscheck,Official Noboribetsu Grand hot spring/news pages,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
77,T1-02,yunokawa-tropical-footbath,函館市熱帯植物園足湯,하코다테시 열대식물원 족탕,yunokawa-hakodate,北海道,footbath,Tier 1,"열대식물원 내 원천 족탕, 원숭이 온천 계절성 신호",needs_review_pool_crosscheck,Hakobura and official botanical garden pages,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
78,T1-02,yunokawa-yumeguri-butai,湯の川温泉足湯「湯巡り舞台」,유노카와 족탕 유메구리부타이,yunokawa-hakodate,北海道,footbath,Tier 1,"무료 족탕, 9:00-21:00, 타월 지참 신호",needs_review_pool_crosscheck,Hakodate Yunokawa official spot page,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
79,T1-02,noboribetsu-sagiriyu,登別温泉 さぎり湯,노보리베쓰 사기리유,noboribetsu,北海道,public_bath_facility,Tier 1,"노보리베쓰 공중탕, 유황천/로컬탕 신호 후보",needs_source_crosscheck,regional high-value seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_east_facility_seed_v0_3_2026-07-03.csv
80,T1-02,hakodate-yachigashira,谷地頭温泉,야치가시라온천,yunokawa-hakodate,北海道,public_bath_facility,Tier 1,"하코다테 시내 공중온천, 로컬탕/갈색온천 신호 후보",needs_source_crosscheck,Hakobura Hakodate onsen list,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
81,T1-02,ginzan-warashiyu,銀山温泉 和楽足湯,Warashi-yu,ginzan,山形県,footbath,Tier 1,상징 온천가 무료 족욕과 야경 동선 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
82,T1-02,tamatsukuri-himegami-hiroba,玉造温泉 姫神広場 足湯,Himegami Footbath,tamatsukuri,島根県,footbath,Tier 1,온천가 중심 족욕과 산책 동선 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
83,T1-02,echigo-yuzawa-komako-no-yu,越後湯沢温泉 駒子の湯,Komako no Yu,echigo-yuzawa,新潟県,public_bath_facility,Tier 1,설국 문학 연계 당일온천 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
84,T1-02,echigo-yuzawa-ponshukan-sakebath,ぽんしゅ館 酒風呂 湯の沢,Ponshukan Sake Bath,echigo-yuzawa,新潟県,wellness_spa,Tier 1,역내 술목욕 체험과 관광 동선 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
85,T1-02,echigo-yuzawa-yama-no-yu,越後湯沢温泉 山の湯,Yama no Yu,echigo-yuzawa,新潟県,historic_public_bath,Tier 1,원천 공동탕과 현지 이용 신호,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
86,T1-02,tsukioka-ashiyu-yuashibi,月岡温泉 足湯 湯足美,Yuashibi Footbath,tsukioka,新潟県,footbath,Tier 1,온천가 중심 무료 족욕과 산책 동선 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
87,T1-02,wakura-yuttari-park-footbath,和倉温泉 湯っ足りパーク,Wakura Yuttari Park Footbath,wakura,石川県,footbath,Tier 1,바다 전망 족욕과 산책 동선 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
88,T1-02,misasa-kawara-buro,三朝温泉 河原風呂,Kawara-buro,misasa,鳥取県,open_air_public_bath,Tier 1,강변 노천 공동탕과 이용난이도 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
89,T1-02,misasa-radium-nettaiki,三朝温泉 ラドン熱気浴,River radon steam experience,misasa,鳥取県,steam_bath_facility,Tier 1,라돈 열기욕 체험과 기대차 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
90,T1-02,kirishima-hinata-no-yu,日当山温泉郷 家族湯,Hinata-yama family baths,kirishima,鹿児島県,family_private_bath_facility,Tier 1,가족탕 밀집 지역과 프라이빗탕 수요 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
91,T1-02,kirishima-maeda-onsen,前田温泉 カジロが湯,Maeda Onsen Kajiroga-yu,kirishima,鹿児島県,public_bath_facility,Tier 1,기리시마 온천시장 인근 당일온천 후보,needs_source_crosscheck,regional tourism source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
92,T1-02,nyuto-yumeguri-cho,乳頭温泉郷 湯めぐり帖,Nyuto Yumeguri Pass,nyuto,秋田県,open_air_bath_route,Tier 1,숙박자 한정 탕순례 패스와 이용 조건 신호,official_checked,Qkamura official yumeguri source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
93,T1-02,shirahama-sakinoyu,崎の湯,사키노유,shirahama,和歌山県,open_air_public_bath,Tier 1,"바다 바로 앞 노천탕, 조망/운영조건 신호 후보",needs_official_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
94,T1-02,kumagaya-hanayuspa,熊谷天然温泉 花湯スパリゾート,구마가야 하나유 스파리조트,saitama-metro,埼玉県,large_day_use_complex,Tier 1,생원천·정원 노천·암반욕/휴게 신호,needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
95,T1-02,ryusenji-soka-yatsuka,竜泉寺の湯 草加谷塚店,류센지노유 소카야쓰카점,saitama-metro,埼玉県,wellness_spa,Tier 1,"천연온천·탄산천·사우나·휴게공간, Nifty 전국 상위",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
96,T1-02,spa-herbs,美楽温泉 SPA-HERBS,미라쿠온천 SPA-HERBS,saitama-metro,埼玉県,wellness_spa,Tier 1,"천연온천+암반욕+식음/휴게 복합시설, Nifty 전국 1위",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
97,T1-02,sugito-utano-yu,杉戸天然温泉 雅楽の湯,스기토 우타노유,saitama-metro,埼玉県,large_day_use_complex,Tier 1,"가온/가수 없는 생원천 내탕, 대노천, 식사 신호",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
98,T1-02,unazuki-soyu-yumedokoro,宇奈月温泉 総湯 湯めどころ宇奈月,Yumedokoro Unazuki,unazuki,富山県,public_bath_facility,Tier 1,구로베 협곡 동선의 대표 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
99,T1-02,yuda-kitsune-no-ashiato,湯田温泉 狐の足あと,Kitsune no Ashiato,yuda,山口県,footbath,Tier 1,카페형 족욕과 도심 관광 동선 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
100,T1-02,yubara-sunayu,湯原温泉 砂湯,Sunayu,yubara,岡山県,open_air_public_bath,Tier 1,강변 무료 노천탕과 혼욕 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
101,T1-03,yubara-yumoto-onsenkan,湯原温泉 湯本温泉館,Yumoto Onsenkan,yubara,岡山県,public_bath_facility,Tier 1,스나유 인근 공공 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
102,T1-03,osawa-onsen-tojiya,大沢温泉 湯治屋,Osawa Onsen Tojiya,hanamaki,岩手県,historic_public_bath,Tier 1,탕치 문화와 강변 노천탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
103,T1-03,dogo-asukanoyu,道後温泉別館 飛鳥乃湯泉,도고온천 별관 아스카노유,dogo,愛媛県,historic_public_bath,Tier 1,"도고 공중탕 별관, 이용방식/대기 신호 후보",needs_official_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
104,T1-03,dogo-honkan,道後温泉本館,도고온천 본관,dogo,愛媛県,historic_public_bath,Tier 1,"역사형 공중탕 대표, 관광객 기대치/혼잡 신호 후보",needs_official_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
105,T1-03,ryogoku-edoyu,両国湯屋江戸遊,료고쿠 유야 에도유,tokyo-metro,東京都,wellness_spa,Tier 1,도심 사우나·온욕·휴게/워크스페이스 복합,needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
106,T1-03,tokyo-toyosu-manyoclub,東京豊洲 万葉倶楽部,도쿄 도요스 만요클럽,tokyo-metro,東京都,wellness_spa,Tier 1,"도요스 관광동선, 유가와라/하코네 원천 운반, 사우나/암반욕",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
107,T1-03,katayamazu-machiyu,片山津温泉 総湯,Katayamazu Soyu Machiyu,katayamazu,石川県,public_bath_facility,Tier 1,호수 전망 현대 공중탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
108,T1-03,mizonokuchi-kirari,溝口温泉 喜楽里,미조노쿠치온천 키라리,kanagawa-metro,神奈川県,public_bath_facility,Tier 1,"탄산수소염천 원천가케나가시, 성인형 시설",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
109,T1-03,shonan-ryusenji,湘南RESORT SPA 竜泉寺の湯,쇼난 리조트 스파 류센지노유,kanagawa-metro,神奈川県,wellness_spa,Tier 1,12종 욕조·천연온천·사우나·암반욕,needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
110,T1-03,manten-no-yu,天然温泉 満天の湯,만텐노유,yokohama,神奈川県,public_bath_facility,Tier 1,"역앞 천연온천+다양한 욕조, 반복 방문형 시설",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
111,T1-03,yokohama-aoba-kirari,横浜青葉温泉 喜楽里 別邸,요코하마 아오바온천 키라리 벳테이,yokohama,神奈川県,large_day_use_complex,Tier 1,"노천·오토로우류·암반욕, 초등학생 이상 시설",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
112,T1-03,yokohama-manyoclub,横浜みなとみらい 万葉倶楽部,요코하마 미나토미라이 만요클럽,yokohama,神奈川県,wellness_spa,Tier 1,"열해/유가와라 원천 운반, 24시간 도시형 온천시설",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
113,T1-03,yokohama-spa-hills-ryusenji,横濱スパヒルズ 竜泉寺の湯,요코하마 스파힐즈 류센지노유,yokohama,神奈川県,wellness_spa,Tier 1,천연온천·탄산천·사우나·암반욕 복합시설,needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
114,T1-03,yugawara-soyu,湯河原惣湯 Books and Retreat,유가와라 소유,yugawara,神奈川県,wellness_spa,Tier 1,공원·족탕·카페/리트리트형 당일치기 시설,needs_official_crosscheck,Rakuten Top20 area article snippet,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
115,T1-03,awara-ashiyu,芦湯,Ashiyu,awara,福井県,footbath,Tier 1,무료 족욕과 역세권 체류 신호,needs_official_crosscheck,Awara tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
116,T1-03,awara-saintpia,セントピアあわら,Saintpia Awara,awara,福井県,public_bath_facility,Tier 1,아와라 대표 당일온천과 공공시설 수요 후보,needs_official_crosscheck,Awara tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
117,T1-03,iizaka-sabako-yu,飯坂温泉 鯖湖湯,Sabako-yu,iizaka,福島県,historic_public_bath,Tier 1,이이자카 대표 공동탕과 고온탕 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
118,T1-03,obama-hot-foot-105,小浜温泉 ほっとふっと105,Hot Foot 105,obama-unzen,長崎県,footbath,Tier 1,일본 최장급 족욕과 해안 관광 동선 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
119,T1-03,obama-naminoyu-akane,小浜温泉 波の湯 茜,Nami no Yu Akane,obama-unzen,長崎県,open_air_public_bath,Tier 1,바다 인접 노천탕과 조망형 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
120,T1-03,bessho-ainome-yu,別所温泉 あいそめの湯,Aisome no Yu,bessho,長野県,public_bath_facility,Tier 1,관광객 이용 쉬운 공공 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
121,T1-03,asamushi-yu-sa-asamushi,道の駅 ゆ～さ浅虫,Yu-sa Asamushi,asamushi,青森県,public_bath_facility,Tier 1,역/도로휴게소형 전망 온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
122,T1-03,sukayu-hiba-sennin-buro,酸ヶ湯温泉 ヒバ千人風呂,Hiba Sennin-buro,sukayu,青森県,historic_public_bath,Tier 1,혼욕 대욕장과 강산성 온천 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
123,T1-03,kaike-ou-land,皆生温泉 おーゆ・ランド,OU Land,kaike,鳥取県,large_day_use_complex,Tier 1,대형 당일온천과 가족탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
124,T1-03,akiu-zuiho-dayuse,ホテル瑞鳳 日帰り温泉,호텔 즈이호 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 1,"대형 호텔 당일온천 후보, 운영일/혼잡 확인 필요",needs_official_detail_crosscheck,Akiu day-use seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_west_facility_seed_v0_4_2026-07-03.csv
125,T1-03,toba-toba-seaside-hotel-dayuse,鳥羽シーサイドホテル 日帰り温泉,도바 시사이드호텔 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,바다 전망 대형 호텔 당일온천 후보,needs_review_pool_crosscheck,Toba day-use seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_west_facility_seed_v0_4_2026-07-03.csv
126,T1-03,toba-todaya-dayuse,戸田家 日帰り温泉,토다야 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,"도바 대형 숙소 당일온천, 탕종류/혼잡 신호 후보",needs_review_pool_crosscheck,Toba lodging/day-use seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_west_facility_seed_v0_4_2026-07-03.csv
