slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
sukayu-onsen,酸ヶ湯温泉旅館,Sukayu Onsen Ryokan,sukayu,青森県,historic ryokan,Tier 1,split_needed;ready,히바센닌부로와 강산성 온천 후보,public_bath,"Jalan/Tripadvisor/Nifty surfaces strongly mention intense acidic milky water, tingling skin/eyes, mixed-bath anxiety, women-only time, rustic toji lodging and crowding/comfort tradeoffs",https://sukayu.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-demand source,needs_official_crosscheck,0,0,https://sukayu.jp/ ; https://sukayu.jp/facility/ ; https://sukayu.jp/information5/ ; https://sukayu.jp/information2/ ; https://travel.rakuten.co.jp/HOTEL/41009/41009.html ; https://www.jalan.net/yad397533/kuchikomi/ ; https://www.tripadvisor.jp/Hotel_Review-g298241-d1050414-Reviews-Sukayu_Onsen_Ryokan-Aomori_Aomori_Prefecture_Tohoku.html ; https://onsen.nifty.com/aomori-onsen/onsen000318/kuchikomi/,공식/시설 주장: 公式/Jalan/Rakutenで国民保養温泉地第1号、160畳の混浴大浴場ヒバ千人風呂、白濁した酸性硫黄泉、男女別小浴場「玉の湯」、女性専用時間と湯あみ着導線を確認 宿泊施設だが施設級の共同湯データ価値。ヒバ千人風呂、玉の湯、混浴/女性専用時間、湯あみ着、洗い場なし/シャワー有無、強酸性刺激を分ける 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
akiu-hananoyu,仙台・秋保温泉 ホテル華乃湯,Hotel Hananoyu,akiu,宮城県,hotel ryokan,Tier 2,hold,천연온천 노천풍로 객실 신호,room_open_air_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Jalan Hananoyu page,needs_official_crosscheck,0,0,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
akiu-ichinobo,仙台・作並温泉 ゆづくしSalon一の坊,Yudukushi Salon Ichinobo,akiu,宮城県,wellness ryokan,Tier 2,route_or_pass;hold,"작나미/아키우권, 온천살롱형 후보",unclear,not_mapped_in_this_candidate_pass,,개별 욕장이 아닌 루트/패스 또는 지역 경계 확인 대상,Ikkyu Akiu room-open-air related list,needs_area_crosscheck,0,0,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
akiu-iwanumaya,秋保温泉 岩沼屋,Iwanumaya,akiu,宮城県,large ryokan,Tier 2,hold,"아키우 대형 료칸, 대욕장/객실탕 후보",room_bath;public_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Akiu lodging exposure,needs_bath_detail_crosscheck,0,0,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
akiu-rantei,仙台 秋保温泉 蘭亭,Rantei,akiu,宮城県,ryokan hotel,Tier 2,hold,"가족형 온천숙소, 대욕장/노천 후보",public_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Akiu lodging exposure,needs_bath_detail_crosscheck,0,0,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
zao-wakamatsuya,蔵王温泉 堺屋森のホテルヴァルトベルク,Wald Berg,zao-yamagata,山形県,ryokan hotel,Tier 2,hold,고지대 유황천과 노천탕 후보,unclear,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",regional OTA source,needs_source_crosscheck,0,0,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
iizaka-horikiri,飯坂温泉 祭屋湯左衛門,Matsuriya Yuzaemon,iizaka,福島県,ryokan,Tier 2,hold,지역 온천가와 대욕장 후보,public_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",regional OTA source,needs_source_crosscheck,0,0,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-komagatake-grand-hotel,駒ヶ岳グランドホテル,Komagatake Grand Hotel,nyuto,秋田県,ryokan hotel,Tier 2,hold,타자와코 고원 온천과 뉴토 접근성 후보,unclear,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Rakuten Nyuto nearby source,needs_source_crosscheck,0,0,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-lodge-iris,ロッジアイリス,Lodge Iris,nyuto,秋田県,lodge,Tier 3,hold,타자와코 고원 소규모 온천 숙박 후보,unclear,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Rakuten Nyuto nearby source,needs_source_crosscheck,0,0,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-magoroku,乳頭温泉郷 孫六温泉,Magoroku Onsen,nyuto,秋田県,ryokan,Tier 2,hold,탕치형 다원천 온천 후보,unclear,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Nyuto official source,needs_official_crosscheck,0,0,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-ogama,乳頭温泉郷 大釜温泉,Ogama Onsen,nyuto,秋田県,ryokan,Tier 2,hold,학교 건물 재활용 공공탕 분위기 후보,unclear,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",Nyuto official source,needs_official_crosscheck,0,0,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
asamushi-tatsumikan,浅虫温泉 椿館,Tsubakikan,asamushi,青森県,ryokan,Tier 2,hold,전통 료칸과 대욕장 후보,public_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",regional OTA source,needs_source_crosscheck,0,0,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
