queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,verification_status,source_basis,official_url,google_maps_url,rakuten_url,jalan_url,ikkyu_url,agoda_or_booking_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_ota,visible_review_pool_global_ota,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
62,T1-02,ito-futarikomorebi,ホテルふたり木もれ陽,Hotel Futari Komorebi,ito-izu,静岡県,luxury hotel,Tier 1,"이토 고평점 온천 숙소, 객실탕 후보",needs_official_crosscheck,Ikkyu nationwide onsen ranking snippet,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
63,T1-02,ito-gensen-tsuki,伊東温泉 源泉と離れのお宿 月,Gensen to Hanare no Oyado Tsuki,ito-izu,静岡県,detached ryokan,Tier 1,"전 9동 오션뷰 노천풍로離れ, Rakuten 1300건급 리뷰풀",needs_official_crosscheck,Rakuten Ito lodging and room-open-air pages,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
64,T1-02,ito-il-azzurri,il azzurri,Il Azzurri,ito-izu,静岡県,seaside hotel,Tier 1,"이즈 객실 노천탕 랭킹 노출, 바다 전망 후보",needs_official_crosscheck,Ikkyu Izu room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
65,T1-02,ito-kazenokaori-umi,伊東温泉 ラグジュアリー 和 ホテル 風の薫UMI,Kaze no Kaori UMI,ito-izu,静岡県,luxury hotel ryokan,Tier 1,"Rakuten 1470건급 리뷰풀, 객실 노천탕 후보",needs_official_crosscheck,Rakuten Ito room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
66,T1-02,ito-uchiyama,お宿うち山 伊豆高原 全室露天風呂付き隠れ宿,Oyado Uchiyama,ito-izu,静岡県,luxury ryokan,Tier 1,"전실 노천풍로離れ, Rakuten 고평점/리뷰풀 신호",needs_official_crosscheck,Rakuten Izu Kogen ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
67,T1-02,ito-yumenoya,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,Tier 1,"전실 반노천풍로離れ, 고평점 소형 숙소",needs_official_crosscheck,Ikkyu Izu Kogen room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
68,T1-02,ito-zagyo-so,ABBA RESORTS IZU - 坐漁荘,ABBA Resorts Izu Zagyosoh,ito-izu,静岡県,luxury ryokan,Tier 1,"이즈 고급 료칸, 객실 노천탕 후보",needs_official_crosscheck,Relux Izu room-open-air exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
69,T1-02,izu-yumotokan,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,Tier 1,전실 반노천 객실 후보,needs_official_crosscheck,Ikkyu nationwide ranking snippet,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
70,T1-02,ibusuki-ginsyo,夫婦露天風呂の宿 吟松,Ginsyo,ibusuki,鹿児島県,ryokan,Tier 1,부부 노천탕과 객실 노천탕 강한 후보,needs_official_crosscheck,Jalan Ibusuki room-open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
71,T1-02,ibusuki-hakusuikan,指宿白水館,Ibusuki Hakusuikan,ibusuki,鹿児島県,large ryokan hotel,Tier 1,"이부스키 대표 대형 숙소, 모래찜질/대욕장 후보",needs_official_crosscheck,regional facility/accommodation seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
72,T1-02,ibusuki-kinkouro,こらんの湯 錦江楼,Koran no Yu Kinkouro,ibusuki,鹿児島県,ryokan hotel,Tier 1,객실 노천탕과 바다 전망 온천 후보,needs_official_crosscheck,Jalan Ibusuki room-open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
73,T1-02,ibusuki-shusuien,いぶすき秀水園,Ibusuki Syusuien,ibusuki,鹿児島県,ryokan,Tier 1,고급 료칸 대욕장과 모래찜질 접근성 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
74,T1-02,ibusuki-yurian,温泉水プール＆夫婦露天風呂の離れ宿 悠離庵,Yurian,ibusuki,鹿児島県,villa ryokan,Tier 1,전동 객실 노천탕과 온천수풀 후보,needs_official_crosscheck,Jalan and Rakuten Ibusuki room-open-air sources,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
75,T1-02,arima-goshoboh,陶泉 御所坊,Tocen Goshoboh,arima,兵庫県,traditional ryokan,Tier 1,"노포 료칸, 금천/대욕장 후보",needs_bath_detail_crosscheck,Arima luxury/traditional exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
76,T1-02,arima-grand-hotel,有馬グランドホテル,Arima Grand Hotel,arima,兵庫県,large ryokan hotel,Tier 1,"대형 아리마 온천호텔, 대욕장/전망탕 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
77,T1-02,arima-hyoe-koyokaku,兵衛向陽閣,Hyoe Koyokaku,arima,兵庫県,large ryokan hotel,Tier 1,"아리마 대형 노포, 금천 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Arima popular ryokan exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
78,T1-02,gero-ogawaya,下呂温泉 小川屋,Ogawaya,gero,岐阜県,large ryokan,Tier 1,"게로 대형 료칸, 대욕장/객실탕 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
79,T1-02,gero-suimeikan,下呂温泉 水明館,Suimeikan,gero,岐阜県,large ryokan hotel,Tier 1,"게로 대표 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
80,T1-02,hakone-kai,星野リゾート 界 箱根,Hoshino Resorts KAI Hakone,hakone,神奈川県,brand ryokan,Tier 1,"하코네 브랜드 료칸, 대욕장·온천감 리뷰풀 후보",needs_bath_detail_crosscheck,Jalan/Hakone lodging exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
81,T1-02,kusatsu-boun,草津温泉 望雲,Boun,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 대표 료칸, 다원천/대욕장 후보",needs_bath_detail_crosscheck,Kusatsu popular ryokan exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
82,T1-02,kusatsu-hotel-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,"Jalan 2026 top area, 5-star ryokan list",,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
83,T1-02,kusatsu-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Kusatsu popular ryokan lists,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
84,T1-02,kusatsu-konoha,お宿 木の葉,Oyado Konoha,kusatsu,群馬県,ryokan,Tier 1,대욕장·대절탕·탕 종류 다양성 후보,needs_bath_detail_crosscheck,Kusatsu popular ryokan lists,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
85,T1-02,kusatsu-naraya,草津温泉 奈良屋,Naraya,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 노포 료칸, 유황천/대욕장 신호",needs_bath_detail_crosscheck,"Jalan 2026 top area, 5-star ryokan list",,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
86,T1-02,atami-kamenoi,亀の井ホテル 熱海,Kamenoi Hotel Atami,atami,静岡県,large hotel ryokan,Tier 1,"객실 노천탕 목록 노출, 대형 리뷰풀 후보",needs_bath_detail_crosscheck,MyBest Atami room-open-air ranking,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
87,T1-02,atami-korakuen,熱海後楽園ホテル,Atami Korakuen Hotel,atami,静岡県,large resort hotel,Tier 1,"대형 리조트, Fuua 연계 온천시설 신호",needs_bath_detail_crosscheck,Atami day-use/spa official exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
88,T1-02,atami-new-akao,ホテルニューアカオ,Hotel New Akao,atami,静岡県,large seaside hotel,Tier 1,"대형 바다 전망 온천호텔, 리뷰풀/부정신호 분석 가치",needs_bath_detail_crosscheck,Atami lodging exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
89,T1-02,ito-anda-resort,ホテル＆スパ アンダリゾート伊豆高原,Anda Resort Izu Kogen,ito-izu,静岡県,wellness resort hotel,Tier 1,"Jalan 4475건급 리뷰풀, 해변 조망 노천·반노천 객실 후보",needs_bath_detail_crosscheck,Jalan Anda Resort page,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
90,T1-02,ito-juraku,伊東ホテルジュラク,Ito Hotel Juraku,ito-izu,静岡県,large hotel ryokan,Tier 1,"伊東 온천 대형호텔, 객실 노천탕 목록 노출",needs_bath_detail_crosscheck,Rakuten Ito room-open-air page,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
91,T1-02,ito-kamenoi-izukogen,亀の井ホテル 伊豆高原,Kamenoi Hotel Izu Kogen,ito-izu,静岡県,resort hotel,Tier 1,"전실 오션뷰, 객실 노천탕 플랜·대욕장 후보",needs_bath_detail_crosscheck,Jalan Izu Kogen room-open-air page,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
92,T1-02,arima-goshobessho,有馬山叢 御所別墅,Goshobessho,arima,兵庫県,luxury villa ryokan,Tier 1,아리마 고급 빌라형 온천 후보,needs_source_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
93,T1-02,kinosaki-mikiya,城崎温泉 三木屋,Mikiya,kinosaki,兵庫県,historic ryokan,Tier 1,문학성 있는 전통 료칸과 외탕 접근성 후보,needs_source_crosscheck,regional high-value source,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
94,T1-02,kurokawa-ikoi,黒川温泉 いこい旅館,Ikoi Ryokan,kurokawa,熊本県,ryokan,Tier 1,명물 노천탕과 탕순례 후보 신호,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
95,T1-02,kurokawa-noshiyu,黒川温泉 お宿 のし湯,Oyado Noshiyu,kurokawa,熊本県,ryokan,Tier 1,정원형 노천과 숙박자 온천경험 후보,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
96,T1-02,kurokawa-sanga,黒川温泉 旅館山河,Ryokan Sanga,kurokawa,熊本県,ryokan,Tier 1,자연형 노천탕과 탕순례 후보 신호,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
97,T1-02,kurokawa-yamamizuki,黒川温泉 山みず木,Yamamizuki,kurokawa,熊本県,ryokan,Tier 1,노천탕/자연형 온천 신호 강함,needs_source_crosscheck,regional high-value seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
98,T1-02,unzen-azumaen,雲仙温泉 東園,Azumaen,unzen,長崎県,ryokan,Tier 1,호수 전망 온천과 고급 료칸 후보,needs_source_crosscheck,regional OTA source,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
99,T1-02,atami-fufu,ふふ 熱海,Fufu Atami,atami,静岡県,luxury ryokan,Tier 1,고급 객실탕/대욕장 후보,needs_source_crosscheck,Rakuten/YuKoyuko top area seed,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
100,T1-02,ito-kissho-carens,吉祥CAREN,Kissho Caren,ito-izu,静岡県,luxury ryokan,Tier 1,"이즈 북천/열천계 고급숙, 노천/객실탕 후보",needs_source_crosscheck,Izu luxury exposure,,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
101,T1-03,yunokawa-bourou-noguchi,HAKODATE 海峡の風 / 望楼NOGUCHI函館候補,Bourou Noguchi Hakodate / Kaikyo no Kaze,yunokawa-hakodate,北海道,luxury hotel ryokan,Tier 1,"유노카와 고급 숙소군, 객실탕/대욕장 후보",needs_identity_crosscheck,Yunokawa luxury lodging exposure,,,,,,,,,,,,identity_merge_check; official_site_check; map_listing_check; ota_or_review_pool_check,P0,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
102,T1-03,takeo-koyokaku,武雄温泉 懐石宿 扇屋,Kaiseki Yado Ogiya,takeo,佐賀県,luxury ryokan,Tier 1,요리 료칸과 온천 체류 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
103,T1-03,takeo-mifuneyama-rakuen,御船山楽園ホテル,Mifuneyama Rakuen Hotel,takeo,佐賀県,hotel ryokan,Tier 1,사우나와 온천 리조트 수요 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
104,T1-03,ureshino-oyado-nonoka,嬉野温泉 大正屋,Taishoya,ureshino,佐賀県,ryokan,Tier 1,우레시노 대표 료칸과 대욕장 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
105,T1-03,ureshino-shiibasanso,嬉野温泉 椎葉山荘,Shiibasanso,ureshino,佐賀県,ryokan,Tier 1,계곡 노천탕과 조용한 체류 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
106,T1-03,ureshino-wataya-besso,嬉野温泉 和多屋別荘,Wataya Besso,ureshino,佐賀県,large ryokan,Tier 1,미인탕과 대형 료칸 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
107,T1-03,jozankei-chalet-ivy,シャレーアイビー定山渓,Chalet Ivy Jozankei,jozankei,北海道,luxury ryokan,Tier 1,"Ikkyu 고평점 고급숙, 객실탕 후보",needs_official_crosscheck,Ikkyu Jozankei ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
108,T1-03,jozankei-furukawa,ぬくもりの宿 ふる川,Nukumori no Yado Furukawa,jozankei,北海道,traditional ryokan,Tier 1,객실 노천탕 추천·대욕장/온천감 후보,needs_official_crosscheck,"MyBest Jozankei room-open-air, Rakuten ranking",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
109,T1-03,jozankei-morino-uta,定山渓鶴雅リゾートスパ 森の謌,Jozankei Tsuruga Resort Spa Mori no Uta,jozankei,北海道,resort spa ryokan,Tier 1,"스파 리조트형, 온천·식음·당일치기 신호",needs_official_crosscheck,"MyBest Jozankei room-open-air, official site",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
110,T1-03,jozankei-suigetsu,翠巌,Suigan,jozankei,北海道,luxury ryokan,Tier 1,"고급 소형 숙소, 객실탕/온천 세부 확인 후보",needs_official_crosscheck,Ikkyu Jozankei ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
111,T1-03,noboribetsu-daiichi-takimotokan,第一滝本館,Dai-ichi Takimotokan,noboribetsu,北海道,large ryokan hotel,Tier 1,"登別 대표 대형 온천호텔, 31湯めぐり/대욕장·객실 노천탕 후보",needs_official_crosscheck,"Jalan Noboribetsu room-open-air, Ikkyu couple list",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
112,T1-03,noboribetsu-grand,祝いの宿 登別グランドホテル,Noboribetsu Grand Hotel,noboribetsu,北海道,large ryokan hotel,Tier 1,"硫黄泉·食塩泉·鉄泉 3泉질, 객실 노천탕·鬼サウナ 신호",needs_official_crosscheck,"Ikkyu Noboribetsu room-open-air, official day-use page",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
113,T1-03,noboribetsu-hanayura,旅亭 花ゆら,Ryotei Hanayura,noboribetsu,北海道,ryokan,Tier 1,원천을 끌어온 히노키 객실 노천탕 신호,needs_official_crosscheck,Ikkyu Noboribetsu room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
114,T1-03,noboribetsu-manseikaku,登別万世閣,Noboribetsu Manseikaku,noboribetsu,北海道,large hotel ryokan,Tier 1,"객실 노천탕 목록 노출, 올인클루시브/대욕장 후보",needs_official_crosscheck,Jalan Noboribetsu room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
115,T1-03,noboribetsu-takinoya,登別温泉郷 滝乃家,Takinoya,noboribetsu,北海道,luxury ryokan,Tier 1,"고급 료칸, 객실 노천탕·대욕장 후보",needs_official_crosscheck,Ikkyu Noboribetsu room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
116,T1-03,yunokawa-hanabishi,函館・湯の川温泉 花びしホテル,Hanabishi Hotel,yunokawa-hakodate,北海道,large ryokan hotel,Tier 1,"리뉴얼 노천풍로 스위트 신호, 대욕장 후보",needs_official_crosscheck,Jalan Yunokawa room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
117,T1-03,yunokawa-heiseikan-hanatsuki,平成館 しおさい亭 別館 花月,Heiseikan Shiosaitei Bettei Hanatsuki,yunokawa-hakodate,北海道,luxury ryokan hotel,Tier 1,전실 쓰가루해협 조망 객실 노천탕 신호,needs_official_crosscheck,Jalan Yunokawa room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
118,T1-03,yunokawa-nagisatei,湯の川プリンスホテル渚亭,Yunokawa Prince Hotel Nagisatei,yunokawa-hakodate,北海道,onsen hotel,Tier 1,객실 노천탕 수량이 큰 유노카와 대표 후보,needs_official_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
119,T1-03,ginzan-fujiya,銀山温泉 藤屋,Fujiya,ginzan,山形県,luxury ryokan,Tier 1,건축성 높은 온천료칸과 객실탕 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
120,T1-03,ginzan-notoya,銀山温泉 能登屋旅館,Notoya Ryokan,ginzan,山形県,historic ryokan,Tier 1,상징적 목조 료칸과 온천가 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
121,T1-03,zao-lucent,蔵王温泉 蔵王国際ホテル,Zao Kokusai Hotel,zao-yamagata,山形県,ryokan hotel,Tier 1,백탁 유황 대욕장과 스키 수요 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
122,T1-03,zao-miyagiya,蔵王温泉 深山荘高見屋,Miyamaso Takamiya,zao-yamagata,山形県,ryokan,Tier 1,강산성 유황천과 전통 료칸 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
123,T1-03,tamatsukuri-chorakuen,玉造温泉 湯之助の宿 長楽園,Chorakuen,tamatsukuri,島根県,ryokan,Tier 1,대형 혼욕 노천과 미인탕 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
