slug,kind,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,visible_review_or_rating_signal,why_prioritized,source_basis,verification_status,source_urls,notes
kawaguchiko-kukuna,accommodation,THE KUKUNA,The Kukuna,kawaguchiko,山梨県,resort hotel,Tier 1,ready|split_needed,公式/Ikkyuで河口湖畔の全室レイクビューリゾート、温泉SPA、富士山ビュー露天風呂付き客室候補を確認,"Ikkyu/Gpoint surfaces mention Fuji-view room open-air, terrace/jacuzzi, panoramic public bath, strong view and food satisfaction; water character signal is weaker than view signal",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://kukuna.jp/ ; https://www.ikyu.com/00001258/review/ ; https://www.ikyu.com/00001258/ ; https://travel.gpoint.co.jp/daredoko/h19215/,富士山/河口湖ビューリゾート。客室露天・ジャグジー、展望大浴場、富士ビュー、ハーフビュッフェを分け、水質感は別途確認 / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-ooya,accommodation,富士河口湖温泉 花水庭 おおや,Kasuitei Ooya,kawaguchiko,山梨県,ryokan hotel,Tier 1,ready|split_needed,公式/Rakutenで最上階展望風呂、河口湖眺望、露天風呂付客室、低張性弱アルカリ性泉/石膏泉/カルシウム・ナトリウム塩化物泉を確認,"Rakuten surfaces mention room attached open-air, public/top-floor view bath satisfaction, but also weak shower pressure in room open-air area",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.kasuitei-ooya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/8125/review.html ; https://travel.rakuten.co.jp/HOTEL/8125/8125.html ; https://www.tour.ne.jp/j_hotel/2906/,最上階展望風呂と客室露天を分ける。部屋付き露天のシャワー水圧、観光地感、食事/若手接客信号も確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-sansuirou,accommodation,山翠楼SANSUIROU,Sansuirou,yugawara,神奈川県,luxury ryokan,Tier 1,ready|split_needed,公式/Rakutenで奥湯河原温泉の高級料亭旅館、屋上/天空の展望露天風呂、室内露天風呂付き客室、複数棟構成を確認,"Rakuten/JTB surfaces mention room open-air and view, rooftop open-air seasonal/weather dependency, but building is spread across 4 wings with stairs and about 20 steps to view bath",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://sansuirou.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/28467/review.html ; https://travel.rakuten.co.jp/HOTEL/28467/28467.html ; https://www.jtb.co.jp/kokunai-hotel/htl/4326001/review/,展望露天と客室露天が強いが段差/階段が重要。屋上露天、室内露天、4棟移動、食事/眺望/リニューアル差を分ける / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-airu,accommodation,箱根藍瑠,Hakone Airu,hakone,神奈川県,ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Hakone room-open-air exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-hotel-okada,accommodation,箱根湯本温泉 ホテルおかだ,Hotel Okada,hakone,神奈川県,large hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Jalan Hakone lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-mikawaya,accommodation,箱根小涌園 三河屋旅館,Mikawaya Ryokan,hakone,神奈川県,traditional ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Hakone accommodation exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-nanpuso,accommodation,箱根湯本温泉 ホテル南風荘,Hotel Nanpuso,hakone,神奈川県,large hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Jalan Hakone lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-oukyuan,accommodation,源泉かけ流しの宿 櫻休庵,Oukyuan,hakone,神奈川県,small ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Jalan Hakone room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-oukyuan-rin,accommodation,源泉かけ流しの宿 櫻休庵 別亭 凛,Oukyuan Bettei Rin,hakone,神奈川県,small ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Jalan Hakone room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-pax-yoshino,accommodation,箱根パークス吉野,Hakone Pax Yoshino,hakone,神奈川県,hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Hakone accommodation exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-setsugetsuka,accommodation,季の湯 雪月花,Tokinoyu Setsugetsuka,hakone,神奈川県,ryokan hotel,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Hakone accommodation exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-tenseien,accommodation,箱根湯本温泉 天成園,Tenseien,hakone,神奈川県,large hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,MyBest/Jalan Hakone room-open-air exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-hanaisawa,accommodation,石和温泉 ホテル花いさわ,Hotel Hana Isawa,isawa,山梨県,hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Jalan Isawa room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-kimiyoshi,accommodation,石和温泉 ホテル君佳,Hotel Kimiyoshi,isawa,山梨県,hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Rakuten Isawa room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-hotel-koryu,accommodation,河口湖温泉 ホテル湖龍,Hotel Koryu,kawaguchiko,山梨県,hotel ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Rakuten keyword result,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-ufuji-no-yado-oike,accommodation,富士河口湖温泉 若草の宿 丸栄 / 湖楽おんやど富士吟景候補,Kawaguchiko ryokan seed,kawaguchiko,山梨県,ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Kawaguchiko lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-fuga,accommodation,ゆがわら風雅,Yugawara Fuga,yugawara,神奈川県,ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Rakuten Yugawara room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-greenpal,accommodation,湯河原温泉 グリーンパル湯河原,Green Pal Yugawara,yugawara,神奈川県,hotel ryokan,Tier 3,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Yugawara lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-manyoso,accommodation,湯河原温泉 万葉の里 白雲荘 / 万葉荘候補,Yugawara Manyo area seed,yugawara,神奈川県,ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Yugawara lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-yugawara-retreat-goenno-mori,accommodation,湯河原リトリート ご縁の杜,Goen no Mori,yugawara,神奈川県,small hotel ryokan,Tier 3,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Yugawara lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-zuisyo,accommodation,御宿瑞鷹,Zuisyo,yugawara,神奈川県,ryokan,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_accommodation_master_v0_6_2026-07-03.csv,,Rakuten Yugawara room-open-air page,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-yunessun-morinoyu,facility,箱根小涌園ユネッサン 森の湯,유넷상 모리노유,hakone,神奈川県,wellness_spa,Tier 1,ready,公式で日帰り本格温泉「森の湯」・露天風呂/内湯/サウナを確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_product_surface_confirmed,https://www.yunessun.com/morinoyu/ ; https://www.yunessun.com/ ; https://www.hakone-hotelkowakien.jp/yunessun.html,ユネッサン(水着エリア)와 森の湯(裸浴) 분리 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-tenzan,facility,天山湯治郷,텐잔토지쿄,hakone,神奈川県,public_bath_facility,Tier 1,ready|split_needed,公式で箱根奥湯本の日帰り湯治施設 identity 확인,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_facility_master_v0_6_2026-07-03.csv,official_identity_confirmed,https://tenzan.jp/,施設構成 하위ページ 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-yuryo,facility,箱根湯寮,하코네유료,hakone,神奈川県,large_day_use_complex,Tier 1,ready,公式で宿泊設備なしの日帰り温泉施設・大浴場・貸切個室露天風呂を確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_product_surface_confirmed,https://www.hakoneyuryo.jp/,貸切個室露天と大浴場을 분리. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
mizonokuchi-kirari,facility,溝口温泉 喜楽里,미조노쿠치온천 키라리,kanagawa-metro,神奈川県,public_bath_facility,Tier 1,hold,公式候補は喜楽里系施設。Niftyで温泉・炭酸泉・寝湯・岩盤浴・食事表面を確認,"Nifty has recent 2026 reviews; weekday vs holiday crowding,炭酸泉 crowding, seat-taking signals visible",Tier 1 우선 후보 / 후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,official_needs_url_crosscheck_review_surface_confirmed,https://onsen.nifty.com/kawasaki-onsen/onsen007460/ ; https://onsen.nifty.com/kawasaki-onsen/onsen007460/kuchikomi/,公式URLは推定なので次回確認。大人向け静かな都市温浴として混雑/休憩席/炭酸泉人気を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
shonan-ryusenji,facility,湘南RESORT SPA 竜泉寺の湯,쇼난 리조트 스파 류센지노유,kanagawa-metro,神奈川県,wellness_spa,Tier 1,ready,公式で竜泉寺の湯湘南茅ヶ崎店、炭酸泉/岩盤浴等とNifty年間ランキング受賞表面を確認,Nifty/Asoview/local news surfaces exist; high-volume day-use spa candidate,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://ryusenjinoyu.com/chigasaki/ ; https://onsen.nifty.com/shounan-onsen/onsen009500/ ; https://www.asoview.com/base/152436/asorepo/list/ ; https://shonanjin.com/news/chigasaki-ryusenjinoyu-ranking/,炭酸泉・岩盤浴・コスパ評価が強い。天然温泉の水質より大型スパ満足度 중심 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
manten-no-yu,facility,天然温泉 満天の湯,만텐노유,yokohama,神奈川県,public_bath_facility,Tier 1,ready,公式で上星川駅前の天然温泉スーパー銭湯、15種の風呂・3種サウナを確認,"Nifty/Sauna-ikitai/Lemon8 surfaces exist; black hot spring,炭酸泉, elderly local-use friction signals visible",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://mantennoyu.com/ ; https://onsen.nifty.com/yokohama-onsen/onsen006655/ ; https://onsen.nifty.com/yokohama-onsen/onsen006655/kuchikomi/ ; https://sauna-ikitai.com/saunas/2208,駅近街の名湯型。黒湯/炭酸泉/サウナ/地元常連マナーを分けて収集 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yokohama-aoba-kirari,facility,横浜青葉温泉 喜楽里 別邸,요코하마 아오바온천 키라리 벳테이,yokohama,神奈川県,large_day_use_complex,Tier 1,ready,公式で小学生以上対象の日帰り温浴施設、竹林露天、高濃度炭酸泉、サウナ、岩盤浴を確認,Nifty review surface has 2026 reviews; PR/official surfaces note high Nifty ranking,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://www.yurakirari.com/aoba/ ; https://onsen.nifty.com/yokohama-onsen/onsen018532/kuchikomi/ ; https://onsen.nifty.com/yokohama-onsen/onsen018532/ ; https://prtimes.jp/main/html/rd/p/000000028.000043281.html,大人向け静かな都市型温浴。温泉・炭酸泉・サウナ・岩盤浴・館内動線を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yokohama-manyoclub,facility,横浜みなとみらい 万葉倶楽部,요코하마 미나토미라이 만요클럽,yokohama,神奈川県,wellness_spa,Tier 1,ready,公式で日帰り/宿泊/個室/温泉/足湯/館内サービスを確認,"Rakuten shows 336 marker; Jalan review surface includes crowding, family bath, chlorine-smell negative signal",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://manyo.co.jp/mm21/ ; https://www.jalan.net/kankou/spt_guide000000197331/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/50200/review.html ; https://travel.rakuten.co.jp/HOTEL/50200/50200.html,横浜都市型スパ。展望足湯・家族風呂・混雑・塩素臭/弱泉質レビューを深掘り価値あり / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yokohama-spa-hills-ryusenji,facility,横濱スパヒルズ 竜泉寺の湯,요코하마 스파힐즈 류센지노유,yokohama,神奈川県,wellness_spa,Tier 1,ready,公式で横濱スパヒルズ、炭酸泉/岩盤浴/混雑状況/2025ランキング表面を確認,"Nifty review surface has 2026 review praising clean facility, ganbanyoku, carbonated bath",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://tsurugamine.ryusenjinoyu.com/ ; https://onsen.nifty.com/yokohama-onsen/onsen011489/kuchikomi/ ; https://onsen.nifty.com/yokohama-onsen/onsen011489/,竜泉寺系の大型スパ。天然温泉より炭酸泉/岩盤浴/コスパ/混雑が主信号 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-soyu,facility,湯河原惣湯 Books and Retreat,유가와라 소유,yugawara,神奈川県,wellness_spa,Tier 1,ready|operation_recheck,公式で惣湯テラス/玄関テラス、源泉かけ流し温泉、食事・読書・リトリート型施設を確認。観光協会で料金/営業時間表面あり,"4travel surface mentions reservation, no amenities, clocks absent, outdoor movement, private bath wait; official notes 2026 reopening notice",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 운영 정보 재확인 필요,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://yugawarasoyu.jp/ ; https://yugawarasoyu.jp/soyu-terrace/ ; https://4travel.jp/dm_shisetsu/11915104 ; https://www.yugawara.or.jp/sightseeing/722/,普通の日帰り温泉ではなく高価格リトリート型。予約/待ち/アメニティなし/再開情報が重要 / 운영시간/예약/휴무 등 변동 정보는 사용자 노출 전 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-spaland,facility,スパランドホテル内藤,스파랜드 호텔 나이토,isawa,山梨県,wellness_spa,Tier 1,hold,公式で日帰り/宿泊スパ、5:00-翌1:00大浴場、全てナノ水、高濃度炭酸泉、岩盤浴等を確認,Jalan/Nifty surfaces include 2026 reviews; one review explicitly says not onsen but repeats because spa is good,Tier 1 우선 후보 / 후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://www.hotel-naito.com/spaland/ ; https://www.hotel-naito.com/spaland/spa/hotspring ; https://www.jalan.net/yad340475/kuchikomi/ ; https://onsen.nifty.com/isawaonsen-onsen/onsen002109/,温泉宿名だが公式はナノ水訴求。天然温泉データではなく wellness_spa として扱う / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-fujiyama-onsen,facility,ふじやま温泉,Fujiyama Onsen,kawaguchiko,山梨県,large_day_use_complex,Tier 1,ready,公式/観光サイトで富士急ハイランド近くの日帰り温泉、バナジウム水、高濃度炭酸泉、露天風呂、休憩所を確認,Jalan shows 153 reviews; Nifty has 2026 review praising vanadium water smoothness and sauna,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://www.fujiyamaonsen.jp/ ; https://www.fujiyamaonsen.jp/price.html ; https://fujiyoshida.net/spot/31 ; https://www.jalan.net/kankou/spt_guide000000179477/kuchikomi/ ; https://onsen.nifty.com/fujigoko-onsen/onsen007430/,富士急/登山帰り利用が強い。バナジウム水/炭酸泉/富士山眺望期待と実際の眺望を確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-yurari,facility,富士眺望の湯 ゆらり,후지조망탕 유라리,kawaguchiko,山梨県,large_day_use_complex,Tier 1,ready,公式/Jalanで富士山眺望の日帰り温泉、全16種類の風呂、食事処、ボディケア、貸切風呂別料金、河口湖送迎予約を確認,"Nifty/Jalan/iko-yo surfaces mention bath variety and Fuji view, but also crowding, lukewarm water, stairs/child safety signals",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://www.fuji-yurari.jp/ ; https://onsen.nifty.com/fujigoko-onsen/onsen002066/kuchikomi/ ; https://www.jalan.net/kankou/spt_19429cd2110076733/ ; https://iko-yo.net/facilities/2383,large_day_use_complex。眺望/浴槽種類/貸切風呂/混雑/ぬるさ/階段安全を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-kogomenoyu,facility,こごめの湯,코고메노유,yugawara,神奈川県,public_bath_facility,Tier 1,ready,公式で湯河原の日帰り温泉、大浴場・露天風呂、休憩ルーム、食事/マッサージ等を確認,"Nifty/Jalan/Tripadvisor surfaces mention old-style/simple day-use bath, tourist facility feel, outdoor flow vs indoor circulation comments, towel expectation",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_facility_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://kogomenoyu.com/ ; https://onsen.nifty.com/yugawara-onsen/onsen001507/kuchikomi/ ; https://www.jalan.net/kankou/spt_14384cc3360135130/kuchikomi/ ; https://www.tripadvisor.jp/Attraction_Review-g1121143-d4044986-Reviews-Kogomenoyu-Yugawara_machi_Ashigarashimo_gun_Kanagawa_Prefecture_Kanto.html,public_bath_facility。観光客向けか町営風か、源泉/循環、設備期待ギャップを確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-kappa-tengoku,facility,かっぱ天国,갓파텐고쿠,hakone,神奈川県,public_bath_facility,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Hakone day-use seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-no-yu,facility,箱根の湯,하코네노유,hakone,神奈川県,public_bath_facility,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Hakone day-use seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-nadeshiko,facility,石和温泉駅前公園あしゆ,이사와온천역 앞 족탕,isawa,山梨県,footbath,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Isawa tourist seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-yamanami,facility,やまなしフルーツ温泉ぷくぷく / ほったらかし温泉候補,Yamanashi view onsen seed,isawa,山梨県,open_air_public_bath,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Yamanashi facility seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-yamanashi-kotsu,facility,石和健康ランド,이사와 건강랜드,isawa,山梨県,wellness_spa,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Isawa facility seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-kaiun,facility,河口湖温泉 寺露天風呂の宿 夢殿 日帰り候補,카와구치코 고급숙 당일입욕 후보,kawaguchiko,山梨県,hotel_dayuse_bath,Tier 3,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Kawaguchiko lodging exposure,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-tensui,facility,野天風呂天水 / 河口湖日帰り温泉候補,Tensui day-use seed,kawaguchiko,山梨県,open_air_public_bath,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Kawaguchiko day-use seed,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
miurayu,facility,黒湯天然温泉みうら湯,구로유 천연온천 미우라유,yokohama,神奈川県,public_bath_facility,Tier 2,hold,not_verified_in_this_pass,not_locked_in_candidate_stage,후속 라운드 보류,nationwide_facility_master_v0_6_2026-07-03.csv,,Nifty Onsen 2025 nationwide ranking,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
