canonical_name_ja,aliases,research_priority_seed,research_priority_score,priority_reasons,preliminary_status,lodging_type_guess,max_visible_ota_reviews,rakuten_review_count,jalan_review_count,bath_signal_keywords,discovered_sources,official_url,rakuten_url,jalan_url,official_room_text,official_bath_text,jalan_desc,source_checked_at
旅籠Hatago 香乃蔵,美食懐石と露天風呂付き離れ宿 旅籠 hatago 香乃蔵 | 旅籠Hatago 香乃蔵,Tier 1 seed / 정밀조사 우선,85,official_ryokan_association | jalan_presence | review_pool_50_plus | all_or_many_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,105,,105,has_room_open_air | has_public_bath,jalan_spot_list | official_ryokan_association,http://www.hatago-kounokura.com/,,https://www.jalan.net/yad362472/,離8（和6・和洋2・全室露天付）,内2・露2（バリアフリー対応1）,4.7 105件 夕食、朝食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ≪2024年1月に館内を一部リニューアル≫旅情あふれる湯の里に、古き良き風情を今に伝える憩いの宿。 みずみずし旬の素材を活かした料理と露天風呂付きの離れで心なごむ時間を満喫してください。 【アクセス】 ＪＲ由布院駅より車で１０分 MAP,2026-06-30
湯布院山荘 吾亦紅,湯布院山荘 吾亦紅,Tier 2 seed / 표준조사,84,jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,557,,557,has_onsen_keyword | has_room_open_air,jalan_spot_list,,,https://www.jalan.net/yad398805/,,,4.3 557件 風呂、朝食、夕食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 【ペットと泊まれる♪】2022年4月、新棟OPEN！部屋食OK！クチコミ高評価宿♪由布岳と湯布院盆地を見渡す高台に、全室離れで源泉100％の檜と岩の露天風呂付き！お食事中もワンちゃんと一緒に過ごせます♪ 【アクセス】 湯布院インターから車で１５分。湯布院駅からタクシーで５分です。 MAP,2026-06-30
由布院温泉 御宿 ゆふいん亭,由布院温泉 御宿 ゆふいん亭 | 御宿 ゆふいん亭,Tier 2 seed / 표준조사,84,rakuten_presence | jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,2494,769,"2,494",has_onsen_keyword | has_room_open_air,rakuten_area_list | jalan_spot_list,,https://travel.rakuten.co.jp/HOTEL/41838/41838.html,https://www.jalan.net/yad343728/,,,"4.5 2,494件 朝食、夕食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 全室離れ形式の天然温泉付き客室、チェックアウト１２時。男女別露天風呂はご滞在中いつでもご利用いただけます。湯上りには無料の生ビールサービスあり、至福のひと時をお過ごしください。 【アクセス】 由布院駅よりタクシーで５分。由布院ＩＣより車で１０分。 MAP",2026-06-30
お宿 開花亭,おやど 開花亭 | お宿 開花亭,Tier 2 seed / 표준조사,83,official_ryokan_association | jalan_presence | review_pool_50_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,58,,58,has_onsen_keyword | has_private_bath,jalan_spot_list | official_ryokan_association,http://www.kaikatei.info/,,https://www.jalan.net/yad312931/,離8（和・露天・内湯付）,家2(露）,4.8 58件 夕食、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 完全離れの客室に、二間のお部屋と専用露天風呂が備わり24時間好きな時に好きなだけ温泉を楽しめる。地元の旬の素材を活かした創作会席料理をお部屋ごとの完全個室のお食事処にておもてなし。 【アクセス】 電車 JR久大線由布院駅下車 / 車 大分自動車道湯布院ICより約10分 MAP,2026-06-30
ひすいの宿 黎明,ひすいの宿 黎明 | 湯布院温泉 ひすいの宿 黎明(れいめい),Tier 2 seed / 표준조사,81,official_ryokan_association | jalan_presence | review_pool_200_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,469,,469,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.hotel-reimei.com/Front/Main.aspx,,https://www.jalan.net/yad374056/,和10・洋1・和洋4,内2・露2・家1,3.5 469件 木々に囲まれた避暑地にある静かなお宿で別荘気分を満喫。和室や洋室、温泉付きなどの多様な客室をお選びいただけます。季節ごとに趣が異なる露天風呂や貸切温泉、四季折々のお料理をお楽しみいただけます。 【アクセス】 JR湯布院駅下車、タクシーで５分 MAP,2026-06-30
ゆふいん由布茶寮,ゆふいん由布茶寮 | ゆふいん 由布茶寮,Tier 2 seed / 표준조사,81,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword | has_room_open_air,official_ryokan_association | jalan_spot_list,http://www.yufusaryo.net/,,https://www.jalan.net/yad349790/,和洋３,各部屋にあり,由布岳を望む、静かで小さなお宿です。部屋付きの半露天風呂では、かけ流しの天然温泉を独り占め。寝室には、シモンズ社製のベッドをご用意しています。別荘感覚でごゆっくりお寛ぎください。 【アクセス】 由布院駅からタクシーで４分。湯布院ＩＣから８分。 MAP,2026-06-30
山荘 田名加,山荘 田名加 | 山荘田名加,Tier 2 seed / 표준조사,81,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.yado-santana.jp/,,https://www.jalan.net/yad383856/,和4・洋2,内2・家1（露）,由布岳の見える全６室（２部屋は見えません）のこじんまりした純木造建築の昔懐かしい佇まいを残した宿です。全室トイレを完備し、お風呂は密にならない様に貸切り利用のみです（内湯岩風呂2と露天風呂1） 【アクセス】 JR由布院駅下車徒歩15分。大分自動車道より車で15分。 MAP,2026-06-30
ゆふいん泰葉,ゆふいん泰葉,Tier 2 seed / 표준조사,79,official_ryokan_association | jalan_presence | review_pool_500_plus | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,554,,554,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.yasuha.co.jp/,,https://www.jalan.net/yad333257/,和18・洋1（離8あり）,内2・露2・家7,4.5 554件 風呂、夕食、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院の町中から離れた閑静な高台にある、トロリとした肌触りの天然温泉“青湯”が自慢の当館。特に女性のお客様から喜ばれております。是非ご体感ください！ 【アクセス】 JR由布院駅より車で5分、徒歩40分。送迎有り（15：00～17：00） MAP,2026-06-30
由布院 六花,由布院 六花,Tier 2 seed / 표준조사,79,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,25,,25,has_room_open_air,official_ryokan_association | jalan_spot_list,http://yufuinonsen.jp/,,https://www.jalan.net/yad341167/,離6,各部屋にあり,5.0 25件 風呂、朝食、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ２０１８年９月にオープンしました半露天風呂付離れ客室６室の小さな宿です。由布岳を望む田園地区に位置する静かな環境の中で、お客様それぞれのスタイルでおくつろぎの時間をお過ごしください。 【アクセス】 大分自動車道湯布院ICより車で約１０分。JR久大本線由布院駅より車で約３分、徒歩で約１０分です。 MAP,2026-06-30
由布院温泉 東匠庵,由布院温泉 東匠庵,Tier 2 seed / 표준조사,77,official_ryokan_association | jalan_presence | review_pool_50_plus | all_or_many_room_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,118,,118,has_onsen_keyword,official_ryokan_association | jalan_spot_list,http://tosyoan.com/,,https://www.jalan.net/yad331264/,和洋8,全室風呂付,4.5 118件 部屋、風呂、夕食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 どのお部屋からも望める美しい由布岳はまさに絶景で訪れる人を魅了して離しません。気の向くままに湯に浸かり、贅を尽くした会席料理を味わう。そんな優雅で贅沢なひとときを存分にお楽しみください。 【アクセス】 湯布院ＩＣから車で６分 MAP,2026-06-30
全室露天付き離れ宿 御宿 さくら亭,全室露天付き離れ宿 御宿 さくら亭,Tier 2 seed / 표준조사,76,jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,605,,605,has_onsen_keyword | has_room_open_air,jalan_spot_list,,,https://www.jalan.net/yad321704/,,,4.5 605件 夕食、朝食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院の中心から少し離れた場所に建つ、源泉掛け流し露天付の離れ宿。 四季折々の旬の旨味を閉じ込めた会席料理。 日常を忘れ贅沢で優雅なひと時を… Instagramフォローとハッシュタグ付き投稿で特典有 【アクセス】 ◆由布院駅よりお車で5分程でございます。 MAP,2026-06-30
御宿 たまゆら,御宿 たまゆら,Tier 2 seed / 표준조사,76,jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,406,,406,has_onsen_keyword | has_room_open_air,jalan_spot_list,,,https://www.jalan.net/yad361918/,,,4.8 406件 接客、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院の高台に佇む、全5棟の源泉掛け流し・全室半露天風呂付きの離れ宿。 地元食材を使用した季節の会席料理を朝・夕お部屋食でごゆっくりと… ※連泊のご予約はお断りしております 【アクセス】 JR由布院駅よりお車で約５、６分ほどでございます。 MAP,2026-06-30
湯平温泉 宿彩暁雲荘 源泉掛け流し大人限定宿,湯平温泉 宿彩暁雲荘 源泉掛け流し大人限定宿,Tier 2 seed / 표준조사,74,jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,545,,545,has_onsen_keyword | has_private_bath,jalan_spot_list,,,https://www.jalan.net/yad332318/,,,4.8 545件 朝食、夕食、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 1日3組様のみお迎えする大人限定宿。湯平温泉100%の源泉を掛け流す温泉内湯付き離れと専用貸切り風呂付き客室。湯平絢爛会席と合わせて大人旅をお楽しみください。 【アクセス】 大分自動車道 湯布院ICより車で20分/JR湯平駅よりバスで7分。 MAP,2026-06-30
由布院温泉 お宿 五輪花,由布院温泉 お宿 五輪花 | お宿 五輪花,Tier 2 seed / 표준조사,74,rakuten_presence | jalan_presence | review_pool_500_plus | private_or_family_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,710,710,490,has_onsen_keyword,rakuten_area_list | jalan_spot_list,,https://travel.rakuten.co.jp/HOTEL/31742/31742.html,https://www.jalan.net/yad321804/,,,4.8 490件 風呂、部屋、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 素泊まり専門のお宿。プライベート性の高い独立した離れに、源泉掛け流しの露天風呂を備えております。お好きな時にお好きなだけ、ゆっくりのんびり温泉三昧。湯布院の風情を思いのままにお楽しみください 【アクセス】 JR由布院駅より車で２分・徒歩で１５分／大分自動車道 湯布院インターより５分 MAP,2026-06-30
山荘 わらび野,山荘 わらび野,Tier 2 seed / 표준조사,73,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword,official_ryokan_association | jalan_spot_list,http://www.warabino.net/,,https://www.jalan.net/yad389226/,離13（和洋）,全室風呂付,全源泉掛け流し温泉付。3500坪の敷地に由布院の自然の景観とモダンな7棟13室が呼応するように融け合い、点在。由布院の風景を纏う宿で極上のひと時をお過ごしくださいませ。 【アクセス】 ※JR由布院駅よりタクシーにて約5分 ※湯布院インターより車で3分 MAP,2026-06-30
御宿 ぬるかわ温泉,御宿 ぬるかわ温泉,Tier 2 seed / 표준조사,71,official_ryokan_association | jalan_presence | review_pool_500_plus | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,677,,677,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://hpdsp.jp/nurukawa/,,https://www.jalan.net/yad380991/,和8（露天風呂付2）,露2・家7（内4・露3）,4.4 677件 風呂、部屋、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 金鱗湖からほど近く、賑やかな湯の坪街道に位置する温泉自慢の宿です。檜風呂や石風呂、三和土風呂、5人は入れる大露天風呂など7つの貸切湯が愉しめる。立ち寄りも可能。さて…、温泉三昧といきましょうか。 【アクセス】 JR由布院駅下車徒歩１５分、タクシー５分。湯布院インターから湯布院方面へ約５分。 MAP,2026-06-30
山紫御泊処 はなの舞,山紫御泊処 はなの舞,Tier 2 seed / 표준조사,69,official_ryokan_association | jalan_presence | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.hananomai.net/,,https://www.jalan.net/yad324410/,和6（風呂付2）・ 離2（和・露天付2）,内2・家1（露）,由布院の中心部、湯の坪通りにほど近い静かなたたずまいの小さなお宿。由布院の四季を感じさせてくれる自然溢れる滞在型旅館です。 【アクセス】 大分自動車道 由布院ICより車で 10分。 MAP,2026-06-30
源泉掛け流しの離れ宿 由布院別邸 風の森,源泉掛け流しの離れ宿 由布院別邸 風の森,Tier 2 seed / 표준조사,68,jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | source_flow_keyword | luxury_or_specialty_signal,secondary_onsen_lodging,ryokan_or_inn,210,,210,has_onsen_keyword | has_room_open_air | has_private_bath,jalan_spot_list,,,https://www.jalan.net/yad309591/,,,4.5 210件 清潔感、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 全室離れ、泉質自慢の露天内湯付き客室にて大人の隠れ家を体感。 お食事処は完全個室を確約し地元の旬の食材を吟味・自慢の創作料理を堪能できます。 ～2025年11月「ロイヤルスイート」誕生～ 【アクセス】 JR由布院駅前から県道617号線方面へ徒歩約20分程 由布院ICより車で10分 MAP,2026-06-30
ゆふいん 小萩荘,ゆふいん 小萩荘 | お宿 小萩荘,Tier 2 seed / 표준조사,67,official_ryokan_association | jalan_presence | review_pool_50_plus | private_or_family_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,74,,74,has_onsen_keyword | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.kohagiso.com/,,https://www.jalan.net/yad347558/,和5,家2（内・露）,4.0 74件 風呂、清潔感、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布院温泉が一望できる小高いところにあり、天然かけ流しの湯、四季折々の湯布院を満喫して疲れた身体を癒すアットホームな宿。 【アクセス】 JR由布院駅からタクシーで約5分、大分自動車道 湯布院ICから約10分 MAP,2026-06-30
山荘紗羅樹,山荘紗羅樹,Tier 2 seed / 표준조사,66,jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,,,,has_onsen_keyword,jalan_spot_list,,,https://www.jalan.net/yad322004/,,,自然に囲まれた離れの客室でゆっくりとお過ごし下さい。全室に源泉かけ流しのプライベート温泉浴室をご用意しております。 【アクセス】 湯布院駅より車で8分。湯布院インターより車で６分。 MAP,2026-06-30
湯らり 六妙,湯らり 六妙,Tier 2 seed / 표준조사,64,jalan_presence | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,,,,has_onsen_keyword | has_room_open_air,jalan_spot_list,,,https://www.jalan.net/yad345269/,,,【5棟限定】全室露天風呂付き離れのお宿。静かで落ち着いたノスタルジックな異空間です. 温泉は源泉100%かけ流し！！ お食事は付いておりませんが、お近くのお食事処をご紹介できます。＜全室Wi-Fi完備＞ 【アクセス】 大分道湯布院出口より車で5分。ＪＲ由布院駅より徒歩10分。大分空港より直通バスで55分。 MAP,2026-06-30
亀の井別荘,亀の井別荘,Tier 2 seed / 표준조사,63,official_ryokan_association | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_public_bath,official_ryokan_association,http://www.kamenoi-bessou.jp/,,,離15（和10・和洋5）・洋6（全室内湯付）,内2・露2,,2026-06-30
山荘 無量塔,山荘 無量塔,Tier 2 seed / 표준조사,63,official_ryokan_association | all_or_many_room_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,,official_ryokan_association,http://www.sansou-murata.com/,,,離れ12（洋1・和洋11・全室風呂付）,全室風呂付,,2026-06-30
御宿 なか屋,御宿 なか屋,Tier 2 seed / 표준조사,63,official_ryokan_association | jalan_presence | review_pool_200_plus | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,440,,440,has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.nakaya-yufuin.jp/,,https://www.jalan.net/yad315731/,和7,内2・露2・家1（内）,4.9 440件 夕食、接客、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 御宿なか屋の自慢は、全お部屋の窓から湯布院の象徴の豊後富士「由布岳」の姿を目の前にご覧いただけることです。季節により、また時間により表情を変えていく由布岳の雄姿をご堪能ください。 【アクセス】 大分道湯布院ＩＣ下車車で７分。ＪＲ久大本線由布院駅下車、タクシー５分 MAP,2026-06-30
旅亭 田乃倉,旅亭 田乃倉,Tier 2 seed / 표준조사,63,official_ryokan_association | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_room_open_air | has_public_bath,official_ryokan_association,http://www.yufuin-tanokura.com/,,,和9・和洋1・離1（全室風呂付・露天5）,内2・露2,,2026-06-30
由布院 玉の湯,由布院 玉の湯,Tier 2 seed / 표준조사,63,official_ryokan_association | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,unclear,,,,has_public_bath,official_ryokan_association,http://www.tamanoyu.co.jp/,,,離16（和洋）全室風呂付,内2・露2,,2026-06-30
由布院心のお宿 風の森,由布院心のお宿 風の森,Tier 2 seed / 표준조사,63,official_ryokan_association | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_room_open_air | has_public_bath,official_ryokan_association,http://www.e-kazenomori.com/,,,離8（和・全室内湯・露天付）,内2・露2,,2026-06-30
旅館 めばえ荘,旅館 めばえ荘 | 由布院温泉 旅館 めばえ荘,Tier 2 seed / 표준조사,61,official_ryokan_association | jalan_presence | private_or_family_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://mebaeso.com/,,https://www.jalan.net/yad328491/,和12・離6（離・和・風呂付4）,内2・露2・家2（露）,眺めのいいお部屋は、ゆったりした造り。閑静な田園風景に佇む温泉宿。源泉掛け流しの温泉を心ゆくまでお楽しみ下さいませ。 【アクセス】 JR由布院駅よりお車で5分。徒歩20分（駅前送迎あり） MAP,2026-06-30
旅荘 牧場の家,由布の里 旅荘 牧場の家 | 旅荘 牧場の家,Tier 3 / 보류,59,official_ryokan_association | jalan_presence | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_public_bath | has_private_bath,jalan_spot_list | official_ryokan_association,https://ryosoumakibanoie.com/,,https://www.jalan.net/yad320901/,離12（和）,露2・家７,昔、牛飼いをしていた初代社長が名づけた「牧場の家」。施設内に牛がいるわけではありません＾＾； 自慢の大露天風呂、離れ客室、素朴で美味しい料理、スタッフのおもてなしで癒しの時をお過ごしください。 【アクセス】 由布院駅より牧場の家（まきばのいえ）まで徒歩8分。お車で2分程の好立地！ MAP,2026-06-30
清孔苑,ゆふいん宿 清孔苑 | 清孔苑,Tier 3 / 보류,59,official_ryokan_association | jalan_presence | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword | has_public_bath | has_private_bath,jalan_spot_list | official_ryokan_association,http://www.yufuin-seikouen.com/,,https://www.jalan.net/yad364167/,和6・和洋4,貸切風呂あり,全10室の宿。天然温泉はとろりとした泉質が自慢の「美肌湯」です。大浴場もあり、貸切湯２か所は宿泊者無料です★和モダンな半露天風呂付離れと本館和室が有ります。離れではお部屋で温泉を愉しめます！ 【アクセス】 湯布院ＩＣより車で８分。由布院駅よりタクシーで５分。 MAP,2026-06-30
湯布院 ほてい屋,湯布院 ほてい屋 | 湯布院ほてい屋,Tier 3 / 보류,59,official_ryokan_association | jalan_presence | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.hoteiya-yado.jp/,,https://www.jalan.net/yad342312/,和11・和洋2,露2・家1（露）,日常の喧噪から離れ ゆふいんの地でふるさとの風情と 懐かしい時間に心を馳せる... 【アクセス】 ＪＲ由布院駅より徒歩２５分（無料送迎あり）、湯布院ＩＣより車で１０分 MAP,2026-06-30
湯布院ガーデンホテル,湯布院ガーデンホテル,Tier 3 / 보류,59,official_ryokan_association | jalan_presence | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,48,,48,has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://www.yufuin-gardenhotel.jp/,,https://www.jalan.net/yad356060/,和10・洋11（バストイレ付10）・ コテージ1,内2・露天2・貸切露天2 （ペット可）,4.5 48件 夕食、朝食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布岳を一望するロケーションに、九州最大級の天然芝ドッグランを完備。 黒毛和牛ステーキ、しゃぶしゃぶやズワイ蟹他豪華バイキングをお楽しみください。 全室ペットとご一緒にお過ごしいただけます♪ 【アクセス】 湯布院IC出口信号右折、国道２１０号線を大分方面へ。１つ目の信号左折、橋を渡り左折後直進４００Ｍ先右側 MAP,2026-06-30
由布院 離れの宿 優夏月,由布院 離れの宿 優夏月,Tier 3 / 보류,58,jalan_presence | review_pool_50_plus | some_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,64,,64,has_onsen_keyword,jalan_spot_list,,,https://www.jalan.net/yad346404/,,,3.8 64件 風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 源泉掛け流しの露天風呂付離れ5棟と専用温泉内湯付ドームテントあり。離れ客室にIHキッチン、洗濯機（乾燥機は一部）、電子レンジ。ラウンジにフリーバーあり！ドームテント宿泊者は専用フリーバー完備！ 【アクセス】 JR由布院駅より車で6分 湯布院I.Cより車で6分 MAP,2026-06-30
しらたき旅館,しらたき旅館 | 由布院温泉 旅館 しらたき,Tier 3 / 보류,57,official_ryokan_association | jalan_presence | review_pool_50_plus | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,50,,50,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://ryokan-shirataki.com//,,https://www.jalan.net/yad383057/,和7,露1・家1,3.8 50件 接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 露天風呂と内湯があり温泉に浸かって和室でのんびり過ごしたい方にはおすすめ！夕食は付いてないが湯の坪通りに面しており散策にも便利でリピーターも多い。 【アクセス】 久大線由布院駅下車徒歩7分。湯布院ＩＣから車で10分 MAP,2026-06-30
由布院温泉 蓮輪ＩＮＮ,由布院温泉 蓮輪ＩＮＮ | 由布院温泉 蓮輪INN,Tier 3 / 보류,57,official_ryokan_association | jalan_presence | review_pool_50_plus | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,188,,188,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://hasuwa.web.fc2.com/index.html,,https://www.jalan.net/yad373325/,和5,内2・家2（露）,4.4 188件 風呂、夕食、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 落ち着いた和室の客室からは雄大な由布岳を眺め、4つの貸切風呂はご予約なしで利用可♪コンビニや飲食店からも便利な立地なので、一人旅や家族旅行にもおすすめ。昔ながらの落ち着く小さなお宿です。 【アクセス】 JR由布院駅より徒歩8分、車で3分。湯布院ICより車で15分。 MAP,2026-06-30
全室半露天付き客室 旅館由布山,全室半露天付き客室 旅館由布山,Tier 3 / 보류,56,jalan_presence | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword,core_ota_onsen_candidate,ryokan_or_inn,48,,48,has_onsen_keyword | has_room_open_air,jalan_spot_list,,,https://www.jalan.net/yad323555/,,,4.2 48件 風呂、夕食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 温泉重視な方オススメ。♪全て源泉かけ流し、半露天風呂付客室で周りを気にせず温泉を何回でもお楽しみいただけます。※当施設はバリヤフリーではございませんので、予めご了承ください。 【アクセス】 由布院駅から車で10分 マップコード 46 300 455*17 MAP,2026-06-30
古都の花心,古都の花心,Tier 3 / 보류,56,jalan_presence | review_pool_200_plus | some_room_bath_signal | private_or_family_bath_signal | luxury_or_specialty_signal,core_ota_onsen_candidate,ryokan_or_inn,357,,357,has_onsen_keyword | has_private_bath,jalan_spot_list,,,https://www.jalan.net/yad310064/,,,4.3 357件 風呂、夕食、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 客室はすべて戸建て離れ。おひとり様から６名一緒に泊まれる部屋があり、朝夕お部屋食プランも充実。お部屋の岩風呂や外湯の貸切風呂で温泉をお楽しみください。湯ノ坪街道まで３分に位置し散策にも便利。 【アクセス】 由布院駅より徒歩10分。湯布院ICから車で6分 MAP,2026-06-30
吉祥開運亭 無尽蔵,吉祥開運亭 無尽蔵,Tier 3 / 보류,56,jalan_presence | review_pool_500_plus | some_room_bath_signal | source_flow_keyword,core_ota_onsen_candidate,ryokan_or_inn,867,,867,has_onsen_keyword,jalan_spot_list,,,https://www.jalan.net/yad373242/,,,4.4 867件 夕食、接客、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ■全4室共、趣きの違う客室で源泉掛け流しの温泉を愉しめる。湯の坪街道沿いに位置するが奥まった隠れ家のような空間。華のあるお料理と希少価値のあるプレミアム焼酎、由布院ワイナリーのワインが自慢。 【アクセス】 JR久大本線由布院駅下車、出口正面の由布観通りを金鱗湖方面へ徒歩15分。湯の坪街道沿い。 MAP,2026-06-30
